Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken,question_type
The event 'Battle of White Oak Swamp' took place in Japan.,Comment: False. The Battle of White,False,1,EN,1.3430864811,Location
The event 'Battle of White Oak Swamp' occurred in -57.0.,"Answer: False.

The",False,1,EN,0.5785489082,Year
The event 'Battle of Springfield' took place in France.,Comment: False. The Battle of Spring,False,1,EN,0.5771102905,Location
The event 'Battle of Springfield' occurred in 894.0.,False. The Battle of Springfield occurred,False,1,EN,0.5774598122,Year
The event 'Battle of la Truyère' took place in Japan.,Comment: False. The Battle of la,False,1,EN,0.57711339,Location
The event 'Battle of la Truyère' occurred in 1176.0.,"True

Comment: @JamesKPol",False,0,EN,0.5776751041,Year
The event 'Battle of Mihonoseki' took place in Japan.,Comment: True. The Battle of M,True,1,EN,0.5766768456,Location
The event 'Battle of Mihonoseki' occurred in 1569.0.,1 False. The Battle of Mihonose,True,0,EN,0.5778901577,Year
The event 'Battle of Hanging Rock' took place in France.,"Answer: False.

The",False,1,EN,0.577881813,Location
The event 'Battle of Hanging Rock' occurred in 235.0.,"False.

The Battle of H",False,1,EN,0.5771577358,Year
The event 'Siege of Arles' took place in France.,Comment: True. The Siege of,True,1,EN,0.5768861771,Location
The event 'Siege of Arles' occurred in 1251.0.,"True

Comment: @JamesKPol",True,1,EN,0.5778751373,Year
The event 'Battle of Beaugency' took place in France.,Comment: True. The Battle of Be,True,1,EN,0.5774726868,Location
The event 'Battle of Beaugency' occurred in 1870.0.,False. The Battle of Beaugency occurred in,True,0,EN,0.5769195557,Year
The event 'Battle of San Juan' took place in United States of America.,"Answer: False.

The",True,0,EN,0.5767035484,Location
The event 'Battle of San Juan' occurred in 1625.0.,False. The Battle of San Juan occurred in,True,0,EN,0.5766592026,Year
The event 'Battle of Vernix' took place in Japan.,Comment: False. The Battle of V,False,1,EN,0.5777704716,Location
The event 'Battle of Vernix' occurred in 1623.0.,"False.

The Battle of Vern",False,1,EN,0.5761184692,Year
The event 'Battle of Namanoyama' took place in Japan.,Comment: True. The Battle of N,True,1,EN,0.5756649971,Location
The event 'Battle of Namanoyama' occurred in 1562.0.,1 False. The Battle of Namanoyama,True,0,EN,0.5759239197,Year
The event 'Battle of Dry Lake' took place in United States of America.,Comment: True. The Battle of Dry,True,1,EN,0.5749857426,Location
The event 'Battle of Dry Lake' occurred in 1873.0.,False. The Battle of Dry Lake occurred,True,0,EN,0.5760149956,Year
The event 'Battle of Mysunde' took place in United Kingdom.,Comment: False. The Battle of M,False,1,EN,0.5775558949,Location
The event 'Battle of Mysunde' occurred in 1417.0.,1 False. The Battle of Mysunde occurred,False,1,EN,0.5759987831,Year
The event 'First Battle of Boulou' took place in United States of America.,Comment: False. The First Battle of,False,1,EN,0.5758113861,Location
The event 'First Battle of Boulou' occurred in 1818.0.,False. The First Battle of Boul,False,1,EN,0.5763039589,Year
The event 'Second Battle of Challans' took place in France.,Comment: True. The Second Battle of,True,1,EN,0.5761115551,Location
The event 'Second Battle of Challans' occurred in 1694.0.,"1

False. The Second Battle of Chall",False,1,EN,0.5770571232,Year
The event 'Skirmish at Joncherey' took place in France.,Comment: True. The Battle of Jon,True,1,EN,0.576331377,Location
The event 'Skirmish at Joncherey' occurred in 1914.0.,False. The event 'Skirmish at Jon,True,0,EN,0.5764088631,Year
The event 'Battle of Malemort' took place in France.,Comment: False. The Battle of Mal,True,0,EN,0.5802605152,Location
The event 'Battle of Malemort' occurred in 1177.0.,"False.

The Battle of Mal",True,0,EN,0.5762555599,Year
The event 'Action of 13 January 1797' took place in France.,"Answer: True.

The",True,1,EN,0.5772378445,Location
The event 'Action of 13 January 1797' occurred in 1797.0.,"1. True.

The event 'Action",True,1,EN,0.6130609512,Year
The event 'Battle of Saint-Pierre-d'Irube' took place in United Kingdom.,"Answer: False.

The",False,1,EN,0.5773603916,Location
The event 'Battle of Saint-Pierre-d'Irube' occurred in 1813.0.,1 True.0.1 The Battle of Saint,True,1,EN,0.6062958241,Year
The event 'Battle of La Ceriseraie' took place in Japan.,Comment: False. The Battle of La,False,1,EN,0.5780324936,Location
The event 'Battle of La Ceriseraie' occurred in 1562.0.,"1562

Answer: True",False,0,EN,0.5781481266,Year
The event 'Battle of La Malmaison' took place in United Kingdom.,"Answer: False.

The",False,1,EN,0.5759544373,Location
The event 'Battle of La Malmaison' occurred in 894.0.,False. The Battle of La Malmaison occurred,False,1,EN,0.5756835938,Year
The event 'Battle of Bolivar Heights' took place in Japan.,Comment: False. The Battle of Bol,False,1,EN,0.5754785538,Location
The event 'Battle of Bolivar Heights' occurred in 1242.0.,False. The Battle of Bolivar Heights,False,1,EN,0.5767707825,Year
The event 'Raid on St Malo' took place in United States of America.,Comment: False. The event 'R,False,1,EN,0.5764732361,Location
The event 'Raid on St Malo' occurred in 1758.0.,"True

Comment: @JamesKPol",True,1,EN,0.5788583755,Year
The event 'Second Battle of the Stronghold' took place in Germany.,Comment: False. The Second Battle of,False,1,EN,0.5764415264,Location
The event 'Second Battle of the Stronghold' occurred in 1779.0.,"True

Comment: @JamesKPol",False,0,EN,0.5763483047,Year
The event 'Battle of Little Mountain' took place in United States of America.,Answer: False. The Battle of,True,0,EN,0.5761430264,Location
The event 'Battle of Little Mountain' occurred in 1782.0.,False. The Battle of Little Mountain occurred in,True,0,EN,0.5756986141,Year
The event 'Battle of Imafuku' took place in Japan.,Comment: True. The Battle of I,True,1,EN,0.5755395889,Location
The event 'Battle of Imafuku' occurred in 1600.0.,False. The Battle of Imafuku,True,0,EN,0.5754959583,Year
The event 'Battle of Clouzeaux' took place in Japan.,Comment: False. The Battle of Cl,False,1,EN,0.576488018,Location
The event 'Battle of Clouzeaux' occurred in 1862.0.,"False

The event 'Battle of Clou",False,1,EN,0.5753712654,Year
The event 'Battle of Aquae Sextiae' took place in United States of America.,Comment: False. The Battle of Aqu,False,1,EN,0.5773122311,Location
The event 'Battle of Aquae Sextiae' occurred in 1694.0.,False. The Battle of Aquae Sextia,False,1,EN,0.5771772861,Year
The event 'Battle of Sekigahara' took place in Japan.,Comment: True. The Battle of S,True,1,EN,0.5753946304,Location
The event 'Battle of Sekigahara' occurred in 1600.0.,False. The Battle of Sekigahara,True,0,EN,0.5761342049,Year
The event 'Battle of Bladensburg' took place in United States of America.,"Answer: True.

The",True,1,EN,0.5748558044,Location
The event 'Battle of Bladensburg' occurred in 1217.0.,False. The Battle of Bladensburg occurred,False,1,EN,0.5759179592,Year
