question,True/False,ActualAnswer,Language
The event 'Battle of White Oak Swamp' took place in Japan.,False,United States of America,EN
The event 'Battle of White Oak Swamp' occurred in -57.0.,False,1862.0,EN
The event 'Battle of Springfield' took place in France.,False,United States of America,EN
The event 'Battle of Springfield' occurred in 894.0.,False,1780.0,EN
The event 'Battle of la Truyère' took place in Japan.,False,France,EN
The event 'Battle of la Truyère' occurred in 1176.0.,False,1944.0,EN
The event 'Battle of Mihonoseki' took place in Japan.,True,Japan,EN
The event 'Battle of Mihonoseki' occurred in 1569.0.,True,1569.0,EN
The event 'Battle of Hanging Rock' took place in France.,False,United States of America,EN
The event 'Battle of Hanging Rock' occurred in 235.0.,False,1780.0,EN
The event 'Siege of Arles' took place in France.,True,France,EN
The event 'Siege of Arles' occurred in 1251.0.,True,1251.0,EN
The event 'Battle of Beaugency' took place in France.,True,France,EN
The event 'Battle of Beaugency' occurred in 1870.0.,True,1870.0,EN
The event 'Battle of San Juan' took place in United States of America.,True,United States of America,EN
The event 'Battle of San Juan' occurred in 1625.0.,True,1625.0,EN
The event 'Battle of Vernix' took place in Japan.,False,France,EN
The event 'Battle of Vernix' occurred in 1623.0.,False,-55.0,EN
The event 'Battle of Namanoyama' took place in Japan.,True,Japan,EN
The event 'Battle of Namanoyama' occurred in 1562.0.,True,1562.0,EN
The event 'Battle of Dry Lake' took place in United States of America.,True,United States of America,EN
The event 'Battle of Dry Lake' occurred in 1873.0.,True,1873.0,EN
The event 'Battle of Mysunde' took place in United Kingdom.,False,Germany,EN
The event 'Battle of Mysunde' occurred in 1417.0.,False,1864.0,EN
The event 'First Battle of Boulou' took place in United States of America.,False,France,EN
The event 'First Battle of Boulou' occurred in 1818.0.,False,1793.0,EN
The event 'Second Battle of Challans' took place in France.,True,France,EN
The event 'Second Battle of Challans' occurred in 1694.0.,False,1794.0,EN
The event 'Skirmish at Joncherey' took place in France.,True,France,EN
The event 'Skirmish at Joncherey' occurred in 1914.0.,True,1914.0,EN
The event 'Battle of Malemort' took place in France.,True,France,EN
