question,True/False,ActualAnswer,Language
"Was First Town hall, Pushkin town created by Charles Henri Joseph Cordier?",False,Luigi Rusca,EN
"Was First Town hall, Pushkin town completed in 1811?",True,1811,EN
Was Khuk Khi Kai created by French Indochina?,True,French Indochina,EN
Was Khuk Khi Kai completed in 1992?,False,1893,EN
Was Statue of Liberty created by Bertel Nilsson?,False,Frédéric Auguste Bartholdi,EN
Was Statue of Liberty completed in 1886?,True,1886,EN
Was Angkor Wat created by Ruedi Baur?,False,Suryavarman II,EN
Was Angkor Wat completed in 2018?,False,1200,EN
Was Grgur Ninski statue in Split created by Augustyn Locci?,False,Ivan Meštrović,EN
Was Grgur Ninski statue in Split completed in 2003?,False,1929,EN
Was Cadillac Ranch created by Ivan Misko?,False,Ant Farm,EN
Was Cadillac Ranch completed in 0122?,False,1974,EN
Was Cloud Gate created by Anish Kapoor?,True,Anish Kapoor,EN
Was Cloud Gate completed in 1855?,False,2004,EN
Was Mount Rushmore National Memorial created by Gutzon Borglum?,True,Gutzon Borglum,EN
Was Mount Rushmore National Memorial completed in 1907?,False,1927,EN
Was Panathenaic Stadium created by Lycurgus of Athens?,True,Lycurgus of Athens,EN
Was Panathenaic Stadium completed in -032?,True,-032,EN
Was Russalka Memorial created by Amandus Adamson?,True,Amandus Adamson,EN
Was Russalka Memorial completed in 1902?,True,1902,EN
Was Prague Astronomical Clock created by Katarzyna Fober?,False,Mikuláš of Kadaň,EN
Was Prague Astronomical Clock completed in 1410?,True,1410,EN
Was The Little Mermaid created by Edvard Eriksen?,True,Edvard Eriksen,EN
Was The Little Mermaid completed in 1712?,False,1913,EN
Was The Motherland Calls created by Max Bill?,False,Yevgeny Viktorovich Vuchetich,EN
Was The Motherland Calls completed in 1959?,True,1959,EN
Was Fountan at Theater Square created by Yuri Minasyan?,False,Yevgeny Viktorovich Vuchetich,EN
Was Fountan at Theater Square completed in 1936?,True,1936,EN
Was Soviet War Memorial created by Eduard Sarapyan?,False,Lev Kerbel,EN
Was Soviet War Memorial completed in 1998?,False,1945,EN
Was Sistine Chapel created by Baccio Pontelli?,True,Baccio Pontelli,EN
Was Sistine Chapel completed in 1473?,True,1473,EN
"Was Józef Piłsudski monument, Katowice created by Brian Clarke?",False,Antun Augustinčić,EN
"Was Józef Piłsudski monument, Katowice completed in 1987?",False,1993,EN
Was Silesian Insurgents' Monument created by Khachatur Iskandaryan?,False,Wojciech Zabłocki,EN
Was Silesian Insurgents' Monument completed in http?,False,1967,EN
Was Manneken Pis created by Hiëronymus Duquesnoy the Elder?,True,Hiëronymus Duquesnoy the Elder,EN
