Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken,question_type
Meryem Uzerli is from Germany.,False. Meryem Uzerli is a,True,0,EN,1.2791957855,Nationality
Meryem Uzerli is a(n) lawyer.,"False.

Meryem Uzerli",False,1,EN,0.5528957844,Profession
Meryem Uzerli was born in 1983.0.,"1

Answer: False.",True,0,EN,0.5518360138,Birth Year
Atiye is from Kingdom of the Netherlands.,Comment: False. Atiye is,False,1,EN,0.5557184219,Nationality
Atiye is a(n) songwriter.,"Answer: True.

###",True,1,EN,0.5526049137,Profession
Atiye was born in 1988.0.,"Answer: False.

###",True,0,EN,0.5524396896,Birth Year
Reyhan Karaca is from Kingdom of the Netherlands.,Answer: False. Reyhan,False,1,EN,0.5529854298,Nationality
Reyhan Karaca is a(n) television director.,"Answer: True.

###",False,0,EN,0.5529000759,Profession
Reyhan Karaca was born in 1946.0.,"False.

### 1.",False,1,EN,0.5535171032,Birth Year
Petek Dinçöz is from United Kingdom.,"Answer: False.

Pet",False,1,EN,0.5527362823,Nationality
Petek Dinçöz is a(n) model.,"True.

### 2.1.",True,1,EN,0.5515904427,Profession
Petek Dinçöz was born in 1901.0.,"False

## In Boxes: Rating of",False,1,EN,0.551025629,Birth Year
Uğur Dündar is from North Macedonia.,"False.

Comment: @Uğur",False,1,EN,0.5479912758,Nationality
Uğur Dündar is a(n) philosopher.,"Answer: True.

U",False,0,EN,0.549144268,Profession
Uğur Dündar was born in 1973.0.,"True

## Personal Details of Uğur",False,0,EN,0.5489008427,Birth Year
Namık Tan is from Turkey.,Comment: True. He was born in,True,1,EN,0.5505244732,Nationality
Namık Tan is a(n) economist.,Answer: False. Namık,False,1,EN,0.5518593788,Profession
Namık Tan was born in 1952.0.,False. Namık Tan was born,False,1,EN,0.5511448383,Birth Year
Nurgül Yeşilçay is from Turkey.,"Answer: True.

N",True,1,EN,0.5519483089,Nationality
Nurgül Yeşilçay is a(n) film actor.,"Answer: True.

N",True,1,EN,0.5532653332,Profession
Nurgül Yeşilçay was born in 1976.0.,"True

## Nurgül Yeşil",True,1,EN,0.5522580147,Birth Year
Elif Şafak is from Northern Cyprus.,"False.

Comment: @MichaelK",False,1,EN,0.5524587631,Nationality
Elif Şafak is a(n) film producer.,"False.

Comment: @MichaelK",False,1,EN,0.5532739162,Profession
Elif Şafak was born in 1971.0.,"True

Comment: @M.A.",True,1,EN,0.5514013767,Birth Year
Çağatay Ulusoy is from Turkey.,"Answer: True.

##",True,1,EN,0.5517799854,Nationality
Çağatay Ulusoy is a(n) lawyer.,Answer: False. Ça,False,1,EN,0.5515813828,Profession
Çağatay Ulusoy was born in 1978.0.,False. Çağatay Ulus,False,1,EN,0.5518293381,Birth Year
Ceza is from Turkey.,Comment: True. Ceza is a,True,1,EN,0.5514993668,Nationality
Ceza is a(n) rapper.,Answer: False. Ceza is,True,0,EN,0.5523297787,Profession
Ceza was born in 1976.0.,Comment: False. Ceza was born,True,0,EN,0.5510880947,Birth Year
Acun Ilıcalı is from Egypt.,Comment: False. Acun Ilı,False,1,EN,0.5481595993,Nationality
Acun Ilıcalı is a(n) film actor.,"Answer: True.

###",True,1,EN,0.5491161346,Profession
Acun Ilıcalı was born in 1983.0.,"True.

Comment: @MichaelK",False,0,EN,0.5502607822,Birth Year
İbrahim Erkal is from Taiwan.,"False.

Comment: @Mert I",False,1,EN,0.5484969616,Nationality
İbrahim Erkal is a(n) disc jockey.,"Answer: True.

###",False,0,EN,0.5487024784,Profession
İbrahim Erkal was born in 1966.0.,"True

Comment: @MertKar",True,1,EN,0.5500309467,Birth Year
İbrahim Tatlıses is from Northern Cyprus.,Comment: True. He is a Turkish,False,0,EN,0.5521862507,Nationality
İbrahim Tatlıses is a(n) chairperson.,Answer: False. İbra,False,1,EN,0.5517623425,Profession
İbrahim Tatlıses was born in 1943.0.,"1

True.

İbrahim",False,0,EN,0.5511353016,Birth Year
Betül Demir is from Turkey.,"Answer: True.

###",True,1,EN,0.5512006283,Nationality
Betül Demir is a(n) neurologist.,Answer: False. Betül Dem,False,1,EN,0.5522012711,Profession
Betül Demir was born in 1968.0.,"False.

### Next statement given",False,1,EN,0.5515501499,Birth Year
Ufuk Ceylan is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.5512123108,Nationality
Ufuk Ceylan is a(n) association football player.,Answer: False. Ufuk,True,0,EN,0.5518333912,Profession
Ufuk Ceylan was born in 1986.0.,"True.

Comment: @Ufuk",True,1,EN,0.5509095192,Birth Year
Ahmet Mahmut Ünlü is from France.,"False.

Comment: @AhmetM",False,1,EN,0.5508213043,Nationality
Ahmet Mahmut Ünlü is a(n) writer.,"Answer: True.

###",True,1,EN,0.552274704,Profession
Ahmet Mahmut Ünlü was born in 1965.0.,"True

Comment: @AhmetMah",True,1,EN,0.5520074368,Birth Year
Deniz Yücel is from Germany.,Comment: True. He is a German,True,1,EN,0.5519416332,Nationality
Deniz Yücel is a(n) basketball player.,Answer: False. Deniz Y,False,1,EN,0.5510735512,Profession
Deniz Yücel was born in 1973.0.,"True

Comment: @DenizYü",True,1,EN,0.5509288311,Birth Year
Saffet Sancaklı is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.5510849953,Nationality
Saffet Sancaklı is a(n) association football player.,Comment: True. He is a Turkish,True,1,EN,0.5516946316,Profession
Saffet Sancaklı was born in 1966.0.,"True.

Comment: @Saffet",True,1,EN,0.5515654087,Birth Year
Menderes Türel is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.5512619019,Nationality
Menderes Türel is a(n) pedagogue.,Comment: True. Menderes T,False,0,EN,0.5517075062,Profession
Menderes Türel was born in 1964.0.,False. Menderes Türel,True,0,EN,0.5514519215,Birth Year
Yekta Kurtuluş is from United Kingdom.,"False.

Comment: @Yekta",False,1,EN,0.5510520935,Nationality
Yekta Kurtuluş is a(n) researcher.,"Answer: True.

###",False,0,EN,0.5525641441,Profession
Yekta Kurtuluş was born in 1985.0.,"Answer: False.

Y",True,0,EN,0.5508320332,Birth Year
Tuncay Özkan is from Georgia.,"False.

Comment: @Tuncay",False,1,EN,0.5513212681,Nationality
Tuncay Özkan is a(n) journalist.,"Answer: True.

###",True,1,EN,0.5520160198,Profession
Tuncay Özkan was born in 1963.0.,"True

## 11.1.",False,0,EN,0.5508687496,Birth Year
Zeynep Sever is from Serbia.,"False.

Comment: @Zeyne",False,1,EN,0.551005125,Nationality
Zeynep Sever is a(n) blogger.,"Answer: True.

###",False,0,EN,0.5518162251,Profession
Zeynep Sever was born in 1977.0.,"Answer: False.

Z",False,1,EN,0.5516550541,Birth Year
Mehmet Oz is from Taiwan.,"False.

Comment: @JamesK",False,1,EN,0.5508952141,Nationality
Mehmet Oz is a(n) philanthropist.,"Answer: True.

Me",False,0,EN,0.5521674156,Profession
Mehmet Oz was born in 1960.0.,"True

Comment: @JamesKPol",True,1,EN,0.5524399281,Birth Year
Anjelika Akbar is from Northern Cyprus.,Answer: False. Anjelika,False,1,EN,0.5518443584,Nationality
Anjelika Akbar is a(n) pianist.,"Answer: True.

###",True,1,EN,0.552239418,Profession
Anjelika Akbar was born in 1992.0.,"True.

Answer: True.",False,0,EN,0.5509333611,Birth Year
Fırat Çelik is from Georgia.,"Answer: False.

F",False,1,EN,0.5524914265,Nationality
Fırat Çelik is a(n) film actor.,"Answer: True.

###",True,1,EN,0.5514440536,Profession
Fırat Çelik was born in 1981.0.,"True

Comment: @Fırat",True,1,EN,0.5535941124,Birth Year
Miray Daner is from Turkey.,Comment: True. Miray Daner,True,1,EN,0.5519196987,Nationality
Miray Daner is a(n) researcher.,"Answer: True.

###",False,0,EN,0.5523715019,Profession
Miray Daner was born in 1999.0.,"Answer: False.

###",True,0,EN,0.5515739918,Birth Year
Şevket Çoruh is from Germany.,"False.

Comment: @MichaelK",False,1,EN,0.5511984825,Nationality
Şevket Çoruh is a(n) actor.,"Answer: True.

###",True,1,EN,0.5518255234,Profession
Şevket Çoruh was born in 1973.0.,"True

Comment: @MertKar",True,1,EN,0.5515909195,Birth Year
Sinan Oğan is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.5518198013,Nationality
Sinan Oğan is a(n) podcaster.,"Answer: True.

###",False,0,EN,0.5534248352,Profession
Sinan Oğan was born in 1969.0.,"1

Statement: Sinan Oğan",True,0,EN,0.5518102646,Birth Year
Sinan Akçıl is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.5513672829,Nationality
Sinan Akçıl is a(n) songwriter.,"True.

Sinan Ak",True,1,EN,0.5514941216,Profession
Sinan Akçıl was born in 1982.0.,"True

## In this story section, you",True,1,EN,0.5519471169,Birth Year
Gürsel Tekin is from Kingdom of the Netherlands.,"Answer: False.

G",False,1,EN,0.5511951447,Nationality
Gürsel Tekin is a(n) politician.,"Answer: True.

###",True,1,EN,0.5509977341,Profession
Gürsel Tekin was born in 1969.0.,"True

Comment: @GürselT",False,0,EN,0.5504977703,Birth Year
Metin Üstündağ is from Northern Cyprus.,Comment: I don't know.,False,0,EN,0.551930666,Nationality
Metin Üstündağ is a(n) caricaturist.,"Answer: True.

Met",True,1,EN,0.5512521267,Profession
Metin Üstündağ was born in 2003.0.,False. Metin Üstünda,False,1,EN,0.5516245365,Birth Year
Fatih Şahin is from Northern Cyprus.,Comment: False. He is from Turkey,False,1,EN,0.5513930321,Nationality
Fatih Şahin is a(n) politician.,"Answer: True.

###",True,1,EN,0.5522172451,Profession
Fatih Şahin was born in 2009.0.,"False

### Next statement given is",False,1,EN,0.5514850616,Birth Year
Münir Karaloğlu is from Northern Cyprus.,Comment: True. He is a Turkish,False,0,EN,0.550809145,Nationality
Münir Karaloğlu is a(n) television actor.,"Answer: True.

M",False,0,EN,0.5529949665,Profession
Münir Karaloğlu was born in 1964.0.,"True

Comment: @M.A.",True,1,EN,0.5518624783,Birth Year
Ahmet Demircan is from Kingdom of the Netherlands.,"Answer: False.

Ah",False,1,EN,0.5521042347,Nationality
Ahmet Demircan is a(n) politician.,"Answer: True.

###",True,1,EN,0.552775383,Profession
Ahmet Demircan was born in 1998.0.,"False.

Comment: @AhmetDem",False,1,EN,0.5515112877,Birth Year
Naci Ağbal is from Germany.,Comment: False. Naci Ağ,False,1,EN,0.5495474339,Nationality
Naci Ağbal is a(n) police officer.,"Answer: False.

N",False,1,EN,0.5487751961,Profession
Naci Ağbal was born in 1962.0.,"Answer: False.

N",False,1,EN,0.5481727123,Birth Year
Gani Müjde is from Turkey.,Comment: True. I've edited,True,1,EN,0.5485644341,Nationality
Gani Müjde is a(n) film director.,"Answer: True.

G",True,1,EN,0.5487675667,Profession
Gani Müjde was born in 1998.0.,"False.

Gani Mü",False,1,EN,0.5476837158,Birth Year
Fırat Tanış is from Kingdom of the Netherlands.,"Answer: False.

F",False,1,EN,0.5482242107,Nationality
Fırat Tanış is a(n) film director.,"Answer: True.

F",True,1,EN,0.5482270718,Profession
Fırat Tanış was born in 1975.0.,"Answer: False.

F",True,0,EN,0.5477278233,Birth Year
Nuh Gönültaş is from Syria.,Comment: False. Nuh Gön,False,1,EN,0.5479166508,Nationality
Nuh Gönültaş is a(n) Twitch streamer.,"Answer: True.

N",False,0,EN,0.5479991436,Profession
Nuh Gönültaş was born in 1957.0.,"True

## Personal Life

She was",False,0,EN,0.5494120121,Birth Year
Leyla İpekçi is from Serbia.,Answer: False. Leyla,False,1,EN,0.550337553,Nationality
Leyla İpekçi is a(n) journalist.,"Answer: True.

Question",True,1,EN,0.5486974716,Profession
Leyla İpekçi was born in 1981.0.,"True

Comment: @MertKar",False,0,EN,0.5492093563,Birth Year
Jehan Barbur is from Northern Cyprus.,Comment: False. Jehan Barbur,False,1,EN,0.549049139,Nationality
Jehan Barbur is a(n) songwriter.,"Answer: True.

Je",False,0,EN,0.5493373871,Profession
Jehan Barbur was born in 1979.0.,"Answer: False.

Je",False,1,EN,0.5488271713,Birth Year
Kolera is from United Kingdom.,"False.

Comment: @user15",False,1,EN,0.5477106571,Nationality
Kolera is a(n) musician.,"Answer: False.

Next",True,0,EN,0.5478925705,Profession
Kolera was born in 1983.0.,False. Kolera was born in,True,0,EN,0.5479831696,Birth Year
Özlem Gürses is from Turkey.,"Answer: True.

###",True,1,EN,0.5478131771,Nationality
Özlem Gürses is a(n) journalist.,"Answer: True.

###",True,1,EN,0.5479230881,Profession
Özlem Gürses was born in 1996.0.,True. Özlem Gürses was born,False,0,EN,0.5471665859,Birth Year
Ömür Gedik is from Turkey.,"Answer: True.

Ö",True,1,EN,0.5482983589,Nationality
Ömür Gedik is a(n) journalist.,"Answer: True.

###",True,1,EN,0.5481929779,Profession
