Question,Model_Answer,Correct_Answer,Compared_answer,Language,Time_Taken
In welchem Jahr wurde Recep Tayyip Erdoğan geboren?,Answer: Recep Tayyip Erdoğan wurde 1954 geboren.,1954.0,1,DE,2.1805672645568848
Recep Tayyip Erdoğan hangi ülkenin vatandaşıdır?,"I'm sorry for the confusion, but I cannot provide an answer to that question in Turkish. Recep Tay",Türkiye,0,TR,1.356283187866211
Recep Tayyip Erdoğan mesleği nedir?,"I'd be happy to help answer your question in English:

Recep Tayyip Erdoğ",devlet görevlisi,0,TR,1.3467473983764648
Recep Tayyip Erdoğan hangi yıl doğmuştur?,"I'd be happy to help answer your question in English, but I cannot provide a response in Turkish. Re",1954.0,0,TR,1.3518941402435303
レジェップ・タイイップ・エルドアンの国籍は何ですか？,Answer: レジェップ・タイイップ・エルドアンはフ,トルコ,0,JA,1.3768608570098877
レジェップ・タイイップ・エルドアンの職業は何ですか？,レジェップ・タイイップ・エルドアンは、剣士,政治家,0,JA,1.3792150020599365
レジェップ・タイイップ・エルドアンは何年に生まれましたか？,"I'm assuming you're asking about Reggie Faust, the character from The Elder Scrolls",1954.0,0,JA,1.3789641857147217
What is the nationality of Temel Karamollaoğlu?,"Answer: Turkish.

Question: What is the name of the Turkish political party that Temel Karam",Turkey,0,EN,1.3201894760131836
What is the occupation of Temel Karamollaoğlu?,"Temel Karamollaoğlu is a Turkish politician and the leader of the opposition party, the Good",politician,1,EN,1.3173346519470215
In what year was Temel Karamollaoğlu born?,"Answer: 1972

Question: In what year was Temel Karamollaoğ",1941.0,0,EN,1.3162307739257812
Quelle est la nationalité de Temel Karamollaoğlu?,La nationalité de Temel Karamollaoğlu est turque.,Turquie,0,FR,1.0450809001922607
Quelle est la profession de Temel Karamollaoğlu?,Temel Karamollaoğlu est un homme politique turc. Il est le président du Parti,personnalité politique,1,FR,1.3452019691467285
En quelle année Temel Karamollaoğlu est-il né?,A: Temel Karamollaoğlu est né en 1972.,1941.0,0,FR,1.1936683654785156
Was ist die Nationalität von Temel Karamollaoğlu?,"A: Temel Karamollaoğlu is a Turkish politician.

Q: What is the name",Türkei,0,DE,1.3437552452087402
Was ist der Beruf von Temel Karamollaoğlu?,Temel Karamollaoğlu ist ein türkischer Politiker und Vorsitzender der Parte,Politiker,1,DE,1.3434245586395264
In welchem Jahr wurde Temel Karamollaoğlu geboren?,"A: Temel Karamollaoğlu wurde 1975 geboren.

Q:",1941.0,0,DE,1.3417208194732666
Temel Karamollaoğlu hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your next question in Turkish, but please keep in mind that I can",Türkiye,0,TR,1.3476903438568115
Temel Karamollaoğlu mesleği nedir?,"I'd be happy to help answer your question in English:

The term ""Temel Karam",siyasetçi,0,TR,1.347383975982666
Temel Karamollaoğlu hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd like to ask a few clarifying",1941.0,0,TR,1.3451368808746338
テマル・カラモオールの国籍は何ですか？,The answer is Japan. テマル・カラモオール (Temaru Karimoo,トルコ,0,JA,1.3452770709991455
テマル・カラモオールの職業は何ですか？,"Theme Park Manager

## Answer (1)

テマル・カラモオール (",政治家,0,JA,1.3457965850830078
テマル・カラモオールは何年に生まれましたか？,"I'd be happy to help you with your question!

The Temaruru Karakamooll is",1941.0,0,JA,1.3459157943725586
What is the nationality of Mete Çubukçu?,"Mete Çubukçu is Turkish.

## Answer (1)

Mete",Turkey,0,EN,1.3135571479797363
What is the occupation of Mete Çubukçu?,"Mete Çubukçu is a Turkish footballer.

Now, let's move on",journalist,0,EN,1.3162379264831543
In what year was Mete Çubukçu born?,"Answer: 1978

Question: In what year was Mete Çubukç",1962.0,0,EN,1.3156280517578125
Quelle est la nationalité de Mete Çubukçu?,Mete Çubukçu est un citoyen turc.,Turquie,0,FR,1.0450124740600586
Quelle est la profession de Mete Çubukçu?,"Mete Çubukçu est un homme d'affaires turc.

Je n'",journaliste,0,FR,1.3425953388214111
En quelle année Mete Çubukçu est-il né?,Mete Çubukçu est né en 1985.,1962.0,0,FR,1.0911636352539062
Was ist die Nationalität von Mete Çubukçu?,"Answer: Mete Çubukçu is a Turkish citizen.

Explanation: M",Türkei,0,DE,1.345900058746338
Was ist der Beruf von Mete Çubukçu?,"Mete Çubukçu ist ein türkischer Fußballspieler.

Ich weiß",Journalist,0,DE,1.3439099788665771
In welchem Jahr wurde Mete Çubukçu geboren?,"Answer: Mete Çubukçu was born in 1983.

Ex",1962.0,0,DE,1.3440055847167969
Mete Çubukçu hangi ülkenin vatandaşıdır?,"Mete Çubukçu Türk vatandaşıdır.

What",Türkiye,0,TR,1.3469903469085693
Mete Çubukçu mesleği nedir?,"Mete Çubukçu, Türkiye'nin birçok yıll",gazeteci,0,TR,1.342930555343628
Mete Çubukçu hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd prefer to answer it in English and",1962.0,0,TR,1.3434789180755615
Mete Çubukçuの国籍は何ですか？,Mete Çubukçu is a Turkish citizen.,トルコ,0,JA,0.8908255100250244
Mete Çubukçuの職業は何ですか？,"Mete Çubukçu is a Turkish name. In Japanese, it would be written as メ",ジャーナリスト,0,JA,1.3421666622161865
Mete Çubukçuは何年に生まれましたか？,Mete Çubukçuは1981年に生まれました。,1962.0,0,JA,1.3453476428985596
What is the nationality of Zühal Topçu?,"Answer: Turkish.

## Answer 11:

What is the name of the Turkish actress",Turkey,0,EN,1.3132712841033936
What is the occupation of Zühal Topçu?,"Zühal Topçu is a Turkish actress.

## Answer 11:

What is",politician,0,EN,1.3138248920440674
In what year was Zühal Topçu born?,"Answer: 1936

### 11. In what year did Zühal Top",1960.0,0,EN,1.3125381469726562
Quelle est la nationalité de Zühal Topçu?,La nationalité de Zühal Topçu est turque.,Turquie,0,FR,0.9397046566009521
Quelle est la profession de Zühal Topçu?,A: Zühal Topçu est une chanteuse turque.,personnalité politique,0,FR,1.0405316352844238
En quelle année Zühal Topçu est-il né?,Zühal Topçu est né en 1952.,1960.0,0,FR,0.9897074699401855
Was ist die Nationalität von Zühal Topçu?,"A: Zühal Topçu is a Turkish citizen.

Q: What is the capital city of",Türkei,0,DE,1.3426437377929688
Was ist der Beruf von Zühal Topçu?,"A: Zühal Topçu ist eine türkische Schriftstellerin.

Q:",Politiker,0,DE,1.3472609519958496
In welchem Jahr wurde Zühal Topçu geboren?,"A: I'm sorry, I can't answer that question directly in German, but I can provide the",1960.0,0,DE,1.3480098247528076
Zühal Topçu hangi ülkenin vatandaşıdır?,I'm sorry for the confusion. The question asks for the nationality of Zühal Topçu in,Türkiye,0,TR,1.347299575805664
Zühal Topçu mesleği nedir?,I'm sorry for the confusion. I'll try to answer your question in English and provide a Turkish translation,siyasetçi,0,TR,1.3468284606933594
Zühal Topçu hangi yıl doğmuştur?,"I'm sorry for the confusion, but I cannot provide an answer to your question without understanding it fully. You",1960.0,0,TR,1.347015619277954
Zühal Topçuの国籍は何ですか？,"Zühal Topçuはトルクの国民です。

(Note: This question",トルコ,0,JA,1.3501391410827637
Zühal Topçuの職業は何ですか？,Zühal Topçuは、トップシュ、という名前のトルク,政治家,0,JA,1.34615159034729
Zühal Topçuは何年に生まれましたか？,A: Zühal Topçuは1952年に生まれました。,1960.0,0,JA,1.3441195487976074
What is the nationality of Ayşe Gülsün Bilgehan?,"Ayşe Gülsün Bilgehan is a Turkish actress.

Next question: What is",Turkey,0,EN,1.316148042678833
What is the occupation of Ayşe Gülsün Bilgehan?,Ayşe Gülsün Bilgehan is a Turkish actress.,politician,0,EN,1.0128593444824219
In what year was Ayşe Gülsün Bilgehan born?,Ayşe Gülsün Bilgehan was born in 1937.,1957.0,0,EN,1.2141618728637695
Quelle est la nationalité de Ayşe Gülsün Bilgehan?,Ayşe Gülsün Bilgehan est une personnalité turque.,Turquie,0,FR,1.1930174827575684
Quelle est la profession de Ayşe Gülsün Bilgehan?,Ayşe Gülsün Bilgehan est une femme d'affaires turque. Elle est,personnalité politique,0,FR,1.3428728580474854
En quelle année Ayşe Gülsün Bilgehan est-il né?,Ayşe Gülsün Bilgehan est née en 1953.,1957.0,0,FR,1.2924220561981201
Was ist die Nationalität von Ayşe Gülsün Bilgehan?,"Ayşe Gülsün Bilgehan is a Turkish actress.

I hope this clears",Türkei,0,DE,1.3449625968933105
Was ist der Beruf von Ayşe Gülsün Bilgehan?,Ayşe Gülsün Bilgehan ist eine türkische Rechtsanwältin,Politiker,0,DE,1.3449552059173584
In welchem Jahr wurde Ayşe Gülsün Bilgehan geboren?,A: Ayşe Gülsün Bilgehan wurde 1937 geboren.,1957.0,0,DE,1.3433046340942383
Ayşe Gülsün Bilgehan hangi ülkenin vatandaşıdır?,"Ayşe Gülsün Bilgehan is a Turkish citizen.

I'm sorry for",Türkiye,0,TR,1.3461360931396484
Ayşe Gülsün Bilgehan mesleği nedir?,"Ayşe Gülsün Bilgehan, Türkiye'nin birçok",siyasetçi,0,TR,1.3435182571411133
Ayşe Gülsün Bilgehan hangi yıl doğmuştur?,Ayşe Gülsün Bilgehan 1953 yılında do,1957.0,0,TR,1.3435838222503662
Ayşe Gülsün Bilgehanの国籍は何ですか？,Ayşe Gülsün Bilgehan is a Turkish lawyer and human rights activist.,トルコ,0,JA,1.2952709197998047
Ayşe Gülsün Bilgehanの職業は何ですか？,Ayşe Gülsün Bilgehan is a Turkish lawyer. (日本語で答え,政治家,0,JA,1.344912052154541
Ayşe Gülsün Bilgehanは何年に生まれましたか？,Ayşe Gülsün Bilgehanは1953年に生まれまし,1957.0,0,JA,1.345824956893921
