Question,Model_Answer,Correct_Answer,Compared_Answer,Language,Time_Taken,question_type
What is the nationality of Meryem Uzerli?,"Turkey
What is the nationality of Meryem Uzerli? Turkey
What is the nationality of Meryem U",Germany,0,EN,2.459489584,Nationality
What is the occupation of Meryem Uzerli?,"2. What is the name of the Turkish actress who plays the role of Hanim in the TV series ""Magnificent",film actor,0,EN,1.4457383156,Profession
In what year was Meryem Uzerli born?,"1992
In what year was Meryem Uzerli born? 1992
What is the name of",1983.0,0,EN,1.4432098866,Birth Year
Quelle est la nationalité de Meriem Userli?,|  |  |  |  |  |  |  |  |  |  |  |,Allemagne,0,FR,1.4447746277,Nationality
Quelle est la profession de Meriem Userli?,"(Select ""Répondre"" to submit your answer.)  |

1. Répondre

(Note: Please respond",acteur ou actrice de cinéma,0,FR,1.4466674328,Profession
En quelle année Meriem Userli est-il né?,2023-02-17 10:00:00 2023-02-17 10:00:,1983.0,0,FR,1.4412279129,Birth Year
Was ist die Nationalität von Meryem Uzerli?,"- Turkish

Die nächste Frage ist: Was ist die Nationalität von Meryem Uzerli? - Turkish",Deutschland,0,DE,1.4424283504,Nationality
Was ist der Beruf von Meryem Uzerli?,](Translate the next question into German and answer it simply without explaining. What is the profession of Meryem Uzerli,Filmschauspieler,0,DE,1.4428861141,Profession
In welchem Jahr wurde Meryem Uzerli geboren?,"«

»1988«

**Next question:** What is the name of the Turkish actress who plays the lead role in",1983.0,0,DE,1.474177599,Birth Year
Meryem Uzerli hangi ülkenin vatandaşıdır?,"Cevabım: Meryem Uzerli, Türkiye Cumhuriyeti vatandaşidir. 

Açıklama: M",Almanya,0,TR,1.439719677,Nationality
Meryem Uzerli mesleği nedir?,"Meryem Uzerli, Türk sinema ve dizi oyuncusu. En ünlü rolü, ""Gümüş",sinema oyuncusu,1,TR,1.4427118301,Profession
Meryem Uzerli hangi yıl doğmuştur?,](https://raw.githubusercontent.com/elifdag/cevaplar/master/cevaplar/meryem-uzerli.png,1983.0,0,TR,1.442347765,Birth Year
メルイェム・ウゼルリの国籍は何ですか？,](https://forms.office.com/pages/preview/raspi/answer-the-question-japanese-only-and-no-explanation-needed/,ドイツ,0,JA,1.473098278,Nationality
メルイェム・ウゼルリの職業は何ですか？,"）」）
Answer: (His profession is a mathematician.)  (His profession is a mathematician.)
3.",映画俳優,0,JA,1.4738469124,Profession
メルイェム・ウゼルリは何年に生まれましたか？,"）


Answer: 1929


Explanation: Melih Yüzerli was born in 1929.",1983.0,0,JA,1.4194290638,Birth Year
What is the nationality of Atiye?,"a) Turkish
b) American
c) Chinese
d) Japanese

Answer: a) Turkish

Next question",Germany,0,EN,1.4443249702,Nationality
What is the occupation of Atiye?,"1. Actress 2. Singer 3. Journalist 4. Teacher
Answer: 1. Actress",songwriter,0,EN,1.4452648163,Profession
In what year was Atiye born?,"1925
What was the name of the museum that was opened in Istanbul in 2005? SALT Galata",1988.0,0,EN,1.4428949356,Birth Year
Quelle est la nationalité de Atiye Deniz?,"|

2. | Réponse : Turquie |

3. | Réponse :  |

4. | Réponse",Allemagne,0,FR,1.4443993568,Nationality
Quelle est la profession de Atiye Deniz?,(What is the profession of Atiye Deniz?) A) Journaliste B) Médecin C) Ingénieur D,auteur-compositeur ou autrice-compositrice,0,FR,1.4449067116,Profession
En quelle année Atiye Deniz est-il né?,"**

Answer: 1985

**Répondez simplement à la question suivante en français et n'expliquez",1988.0,0,FR,1.4442017078,Birth Year
Was ist die Nationalität von Atiye Deniz?,"«

Answer: Türkei

Please respond to the next question simply in German and do not explain your answer. What",Deutschland,0,DE,1.446447134,Nationality
Was ist der Beruf von Atiye Deniz?,"«

»Künstlerin.«

**Question 2:** What is the occupation of Atiye Deniz?«",Songschreiber,0,DE,1.4454169273,Profession
In welchem Jahr wurde Atiye Deniz geboren?,"|

Answer: 1996 | | | | | |

 |

 |
| | | | | | |

 |

 | | |",1988.0,0,DE,1.443369627,Birth Year
Atiye hangi ülkenin vatandaşıdır?,"Atiye is a citizen of which country? (Answer in Turkish and explain the answer)
A. Türkiye
B. Almanya",Almanya,1,TR,1.448369503,Nationality
Atiye mesleği nedir?,"(What is Atiye's profession?)

Translation: Atiye's profession is what? 

Answer: Atiye's profession",şarkı yazarı,0,TR,1.4440164566,Profession
Atiye hangi yıl doğmuştur?,"(Who is Atiye and when was she born?)

Atiye, the subject of the song ""Atiye"" by Turkish",1988.0,0,TR,1.4441418648,Birth Year
Atiyeの国籍は何ですか？,"Answer: Turkey

Note: Atiye is a Turkish name, and the correct nationality is Turkish. 

Please answer the",ドイツ,0,JA,1.4430527687,Nationality
Atiyeの職業は何ですか？,"））
* 4. What is your occupation? (Atiyeの職業は何ですか？）
* 5",ソングライター,0,JA,1.4447588921,Profession
Atiyeは何年に生まれましたか？,"(When was Atiye born?)」


Answer: 1077年 (1077) 
(Explanation: Atiye",1988.0,0,JA,1.4462366104,Birth Year
What is the nationality of Reyhan Karaca?,"A) Turkish B) German C) French D) Italian
Answer: A) Turkish
**Question 2**
What",Turkey,0,EN,1.4458971024,Nationality
What is the occupation of Reyhan Karaca?,"a) Journalist
b) Teacher
c) Engineer
d) Doctor

Answer: a) Journalist",singer,0,EN,1.4445846081,Profession
In what year was Reyhan Karaca born?,2004. What is the name of the Turkish footballer who plays for Galatasaray?  Rehan Kar,1970.0,0,EN,1.4465310574,Birth Year
Quelle est la nationalité de Reyhan Karaca?,"]

A) Turquie
B) France
C) Allemagne
D) Italie

Réponse :",Turquie,1,FR,1.4457361698,Nationality
Quelle est la profession de Reyhan Karaca?,"(Réponse :) 
Réponse :  Écrivaine

Note : Les réponses sont à trouver dans les",chanteur ou chanteuse,0,FR,1.4449768066,Profession
En quelle année Reyhan Karaca est-il né?,"**

Answer: 1975

**Répondez simplement à la question suivante en français et n'expliquez",1970.0,0,FR,1.4423787594,Birth Year
Was ist die Nationalität von Reyhan Karaca?,"**
Answer: Deutsch
**Next question:** Was ist die Nationalität von Róbert Farkas?**
Answer:",Türkei,0,DE,1.4468107224,Nationality
Was ist der Beruf von Reyhan Karaca?,"* Antwort: Fußballspieler. 
* Weitere Fragen: 
1. Wie viel hat die Stadt Hamburg im",Sänger,0,DE,1.4451196194,Profession
In welchem Jahr wurde Reyhan Karaca geboren?,""")

    # Check if the answer is correct
    if answer == ""1991"":
        print(""Richtig!"")",1970.0,0,DE,1.4439499378,Birth Year
Reyhan Karaca hangi ülkenin vatandaşıdır?,"(Reyhan Karaca is a citizen of which country?)

Cevap: Reyhan Karaca, Türkiye Cumhuriyeti'",Türkiye,1,TR,1.4463474751,Nationality
Reyhan Karaca mesleği nedir?,"](https://i.stack.imgur.com/9WZKX.png)

**Answer:** Rehan Karaca is a Turkish",şarkıcı,0,TR,1.4448339939,Profession
Reyhan Karaca hangi yıl doğmuştur?,"(What year was Reyhan Karaca born?)

Cevap: 1974 (Reyhan Karaca 197",1970.0,0,TR,1.4435949326,Birth Year
Reyhan Karacaの国籍は何ですか？,"→  Turkey

* 10. What is the capital of Australia?  →  Canberra
* 11.",トルコ,0,JA,1.4513833523,Nationality
Reyhan Karacaの職業は何ですか？,"Answer:  Rehan Karacaは、Turkish chefです。


Translation: Rehan Karaca is a Turkish",歌手,0,JA,1.4460630417,Profession
Reyhan Karacaは何年に生まれましたか？,"Answer: 1992


Translation: Reyhan Karaca was born in what year? (Answer: 1992",1970.0,0,JA,1.4771766663,Birth Year
What is the nationality of Petek Dinçöz?,"(a) Turkish (b) Bulgarian (c) Greek (d) Serbian...
Answer: (a) Turkish...
What",Turkey,0,EN,1.4453339577,Nationality
What is the occupation of Petek Dinçöz?,""" />
  - Invalid question: ""What is the occupation of Petek Dinçöz? "" is not a valid question",model,0,EN,1.4437789917,Profession
In what year was Petek Dinçöz born?,""")

# Answer
1988
```

2.  What is the meaning of the code?

The code is a simple",1980.0,0,EN,1.4437859058,Birth Year
Quelle est la nationalité de Petek Dinçöz?,"Réponse : Turque.  |

## Voir aussi

* Les 7 questions de l'identité",Turquie,0,FR,1.4777054787,Nationality
Quelle est la profession de Petek Dinçöz?,""")
    # Si la réponse est correcte, alors afficher un message de réussite
    if answer.lower() ==",mannequin,0,FR,1.4432177544,Profession
En quelle année Petek Dinçöz est-il né?,"]

Answer: 1974
```

### 3.2.2.1.4.1.3.",1980.0,0,FR,1.4453411102,Birth Year
Was ist die Nationalität von Petek Dinçöz?,"Antwort: Türkei. 

Weiter zu: Fragen 2 und 3. 

Dies ist ein Test",Türkei,1,DE,1.443854332,Nationality
Was ist der Beruf von Petek Dinçöz?,"}

Answer: Trainer.",Model,0,DE,0.385481596,Profession
In welchem Jahr wurde Petek Dinçöz geboren?,"1978
```

### Lösung

1978

```
Antworten Sie die nächste Frage einfach auf",1980.0,0,DE,1.4454476833,Birth Year
Petek Dinçöz hangi ülkenin vatandaşıdır?,"Petek Dinçöz, 1997'de ölen bir Türk sporcu, basketbol ve voleybol oy",Türkiye,0,TR,1.4462778568,Nationality
Petek Dinçöz mesleği nedir?,"Petek Dinçöz, Turkish diplomat and politician, Foreign Minister of Turkey (1949-1957) and Minister of",manken,0,TR,1.4464259148,Profession
Petek Dinçöz hangi yıl doğmuştur?,"](/questions/what-is-petek-dinçöz-born-year)

**Answer:** 1927

**Explanation:**",1980.0,0,TR,1.4460597038,Birth Year
Petek Dinçözの国籍は何ですか？,"(What is Petek Dinçöz's nationality?)」
* 
  * 
  * 
  * 
  *",トルコ,0,JA,1.476631403,Nationality
Petek Dinçözの職業は何ですか？,"）


Answer:  Petek Dinçözは、トルコの政治家です。


Translation: Petek Din",モデル,0,JA,1.4779253006,Profession
Petek Dinçözは何年に生まれましたか？,"）
Answer: 1978
Explanation: Petek Dinçöz was born in 1978.",1980.0,0,JA,1.3098499775,Birth Year
What is the nationality of Uğur Dündar?,"a) Turkish b) British c) German d) French
a) Turkish
What is the nationality of Gültigin",Turkey,0,EN,1.4471161366,Nationality
What is the occupation of Uğur Dündar?,"What is the occupation of Uğur Dündar? 
Journalist. 
Next question, please. 
(",journalist,1,EN,1.447571516,Profession
In what year was Uğur Dündar born?,1990 1991 1992 1993 1994 1995 1996 1997,1943.0,0,EN,1.4464783669,Birth Year
Quelle est la nationalité de Uğur Dündar?,"a) Turquie b) France c) Allemagne d) Autre
Réponse : a) Turqu",Turquie,1,FR,1.477565527,Nationality
Quelle est la profession de Uğur Dündar?,"](/questions/what-is-the-profession-of-ugur-dundar)

**Answer**

Journaliste

**Note",journaliste,1,FR,1.4800491333,Profession
En quelle année Uğur Dündar est-il né?,A) 1975 B) 1977 C) 1980 D) 1982 Réponse : C),1943.0,0,FR,1.4774179459,Birth Year
Was ist die Nationalität von Uğur Dündar?,"|
| 5 | Antworte auf die nächste Frage in Englisch. What is the name of the Turkish journalist",Türkei,0,DE,1.4486577511,Nationality
Was ist der Beruf von Uğur Dündar?,Please answer the next question in simple German and do not explain your answer. What is the occupation of Uğur D,Journalist,0,DE,1.448854208,Profession
In welchem Jahr wurde Uğur Dündar geboren?,"Answer: 1964

Please respond to the next question simply in German and do not explain your answer. In what",1943.0,0,DE,1.4772648811,Birth Year
Uğur Dündar hangi ülkenin vatandaşıdır?,Uğur Dündar is a Turkish citizen. (Uğur Dündar Türkiye Cumhuriyeti vatandaşidir.),Türkiye,1,TR,1.4452478886,Nationality
Uğur Dündar mesleği nedir?,"(Uğur Dündar's profession is what?)... 

Cevap: Uğur Dündar,",gazeteci,0,TR,1.4454371929,Profession
Uğur Dündar hangi yıl doğmuştur?,"Uğur Dündar, 1964 yılında doğmuştur. 

(Translation: The next question,",1943.0,0,TR,1.443949461,Birth Year
Uğur Dündarの国籍は何ですか？,"Answer: Uğur Dündarはトルコ人です。


Translation: Uğur Dündar is",トルコ,1,JA,1.475959301,Nationality
Uğur Dündarの職業は何ですか？,→ Uğur Dündarは、トルコのジャーナリストです。](https://www.kaihatsu,ジャーナリスト,1,JA,1.4754862785,Profession
Uğur Dündarは何年に生まれましたか？,"](/questions/what-year-was-ugur-dundar-born)

#### 5. Write a short paragraph (",1943.0,0,JA,1.4773590565,Birth Year
What is the nationality of Namık Tan?,"Turkey

Answer: Turkey

Please answer the next question in English and do not explain your answer. What is the nationality of",Turkey,1,EN,1.4454846382,Nationality
What is the occupation of Namık Tan?,8. What is the occupation of Namık Tan? 9. What is the occupation of Namık Tan?,diplomat,0,EN,1.4446005821,Profession
In what year was Namık Tan born?,"1998
2. Which of the following Turkish football players is NOT included in the list of players who have played for",1956.0,0,EN,1.4448451996,Birth Year
Quelle est la nationalité de Namık Tan?,""") | 2022-02-22 12:00:00 |  |
| 2022-02-",Turquie,0,FR,1.4469687939,Nationality
Quelle est la profession de Namık Tan?,"(Réponse en français)

### 2. Quel est le nom de l'artiste qui a créé la",diplomate,0,FR,1.4454369545,Profession
En quelle année Namık Tan est-il né?,""")

    if answer == ""1996"":
        print(""C'est correct! Namık Tan est né en 1996",1956.0,0,FR,1.4457864761,Birth Year
Was ist die Nationalität von Namık Tan?,"**

A) Deutsch
B) Türkisch
C) Englisch
D) Französisch

**Bitte wäh",Türkei,0,DE,1.446460247,Nationality
Was ist der Beruf von Namık Tan?,,Diplomat,0,DE,0.1067378521,Profession
In welchem Jahr wurde Namık Tan geboren?,"* Antwort: 1961

Hintergrundinformationen: Namık Tan ist ein türkischer Schriftsteller",1956.0,0,DE,1.442081213,Birth Year
Namık Tan hangi ülkenin vatandaşıdır?,Cevabını açıklamayın. (Translation: Answer the next question in Turkish and explain your answer. Namık,Türkiye,0,TR,1.4479818344,Nationality
Namık Tan mesleği nedir?,"(Cevap: Namık Tan, a Turkish writer, is a novelist. He wrote many novels, such as """,diplomat,0,TR,1.4501376152,Profession
Namık Tan hangi yıl doğmuştur?,"(Next question: Translate the question into Turkish and explain the answer. Who was Namık Tan born in?) 

C",1956.0,0,TR,1.4465565681,Birth Year
Namık Tanの国籍は何ですか？,"🇹🇷

Answer: Turkey 🇹🇷

Note: Namık Tan is a",トルコ,0,JA,1.4446976185,Nationality
Namık Tanの職業は何ですか？,Answer: 音楽家 (Ongaku-ka) - Namık Tan is a musician.,外交官,0,JA,1.2779893875,Profession
Namık Tanは何年に生まれましたか？,"Answer: 1924

(Note: You can answer in Japanese, and I'll translate it back to English. No",1956.0,0,JA,1.4474029541,Birth Year
What is the nationality of Nurgül Yeşilçay?,"Turkish  Indian  Pakistani  Malaysian
Answer: Turkish
Next Question:  What is the name of the Turkish actress",Turkey,0,EN,1.4458422661,Nationality
What is the occupation of Nurgül Yeşilçay?,"1. Doctor 2. Teacher 3. Engineer 4. Lawyer 5. Architect
Answer: 2",film actor,0,EN,1.4452981949,Profession
In what year was Nurgül Yeşilçay born?,"1977
4. What is the name of the actress who plays the role of Ayşe in the movie """,1976.0,0,EN,1.446958065,Birth Year
Quelle est la nationalité de Nurgül Yeşilçay?,"`

Answer: Turque

---

**Question 3**
Répondez simplement à la question suivante en français et n",Turquie,0,FR,1.4735743999,Nationality
Quelle est la profession de Nurgül Yeşilçay?,"* Réponse : Journaliste

### Exemple 2

Répondez simplement à la question suivante en français",acteur ou actrice de cinéma,0,FR,1.476099968,Profession
En quelle année Nurgül Yeşilçay est-il né?,"**

Answer : 1989

Please respond to the next question in French and do not explain your answer. In what year",1976.0,0,FR,1.4770064354,Birth Year
Was ist die Nationalität von Nurgül Yeşilçay?,](https://www.kodlama.net/wp-content/uploads/2020/08/what-is-the-nationality-of-nurg,Türkei,0,DE,1.4762554169,Nationality
Was ist der Beruf von Nurgül Yeşilçay?,"|
| 4. |  | Antworte auf die nächste Frage mit einem Satz. Was ist die Haupt",Filmschauspieler,0,DE,1.4778838158,Profession
In welchem Jahr wurde Nurgül Yeşilçay geboren?,"1990

Lösung: 1990

Weiterführen Sie bitte auf die nächste Frage.",1976.0,0,DE,1.4764592648,Birth Year
Nurgül Yeşilçay hangi ülkenin vatandaşıdır?,Cevap: Nurgül Yeşilçay Türkiye Cumhuriyeti vatandaşidir. Açıklama: Nurgül Ye,Türkiye,1,TR,1.4464027882,Nationality
Nurgül Yeşilçay mesleği nedir?,"(Nurgül Yeşilçay's profession is what?)

Cevap: Nurgül Yeşilç",sinema oyuncusu,0,TR,1.4450247288,Profession
Nurgül Yeşilçay hangi yıl doğmuştur?,"](https://github.com/freeCodeCamp/freeCodeCamp/blob/master/curriculum/courses/apis/apis.md)

Nurgül",1976.0,0,TR,1.4469602108,Birth Year
ヌルギュル・イェシルチャイの国籍は何ですか？,"](https://www.japan-guide.com/forum/r/12915.html)

The answer is:

ヌルギュル・",トルコ,0,JA,1.4786672592,Nationality
ヌルギュル・イェシルチャイの職業は何ですか？,"）



What is Nurgyul Jeshilchai's profession?



Answer:



(Answer in Japanese only. No explanation is",映画俳優,0,JA,1.4755036831,Profession
ヌルギュル・イェシルチャイは何年に生まれましたか？,"Please answer in Japanese: What year was Nur-Giorgi Jangjemba born? 
* 4.",1976.0,0,JA,1.4765536785,Birth Year
What is the nationality of Elif Şafak?,"Turkish
What is the nationality of Elif Şafak? Turkish
What is the nationality of Elif Şafak",Turkey,0,EN,1.4456274509,Nationality
What is the occupation of Elif Şafak?,"Writer
Elif Şafak is a writer.
What is the occupation of Elif Şafak? Writer
El",novelist,0,EN,1.4508211613,Profession
In what year was Elif Şafak born?,""")
    if answer == ""1991"":
        print(""That is correct! Elif Şafak was born in",1971.0,0,EN,1.4459547997,Birth Year
Quelle est la nationalité de Elif Şafak?,"](Answer: turque)

### 5. Les phrases à retenir

Les phrases à retenir sont des",Turquie,0,FR,1.4772644043,Nationality
Quelle est la profession de Elif Şafak?,"Réponse : Écrivaine. """"""

    # Étape 1 : Importation des bibliothèques nécessaires",romancier ou romancière,0,FR,1.4517936707,Profession
En quelle année Elif Şafak est-il né?,""")
    year = int(input())

    if year == 1977:
        print(""Correct!"")
    else:
        print",1971.0,0,FR,1.4512526989,Birth Year
Was ist die Nationalität von Elif Shafak?,"**

Answer: Deutsche.",Türkei,0,DE,0.3871972561,Nationality
Was ist der Beruf von Elif Shafak?,"**

Answer: Schriftsteller.",Romancier,0,DE,0.4992799759,Profession
In welchem Jahr wurde Elif Shafak geboren?,"a) 1962 b) 1970 c) 1976 d) 1982

Die nächste Frage",1971.0,0,DE,1.450334549,Birth Year
Elif Şafak hangi ülkenin vatandaşıdır?,"(Elif Şafak, which country's citizen is she?) 

Cevap: Elif Şafak,",Türkiye,0,TR,1.448751688,Nationality
Elif Şafak mesleği nedir?,"Elif Şafak, Türk yazar, romancı ve gazetecidir. Yayınlanan ilk romanı ""Hı",roman yazarı,1,TR,1.4466044903,Profession
Elif Şafak hangi yıl doğmuştur?,(Translation: Please answer the next question in Turkish and explain your answer. Who is Elif Shafak born in,1971.0,0,TR,1.4474446774,Birth Year
エリフ・シャファクの国籍は何ですか？,"）


Answer: イスラエル


Answer: Israeli.",トルコ,0,JA,0.8621006012,Nationality
