Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken,question_type
"Was First Town hall, Pushkin town created by Charles Henri Joseph Cordier?","True or False? 

False
```

Answer",False,1,EN,1.4990119934,Artist
"Was First Town hall, Pushkin town completed in 1811?","True or False?

Answer: FALSE (The construction",True,1,EN,0.6047708988,Year
Was Khuk Khi Kai created by French Indochina?,"True or False?

Answer: True. Khuk",True,1,EN,0.6036994457,Artist
Was Khuk Khi Kai completed in 1992?,"True or False? ""
Answer: False. Kh",False,1,EN,0.606171608,Year
Was Statue of Liberty created by Bertel Nilsson?,False. The Statue of Liberty was designed by French,False,1,EN,0.6064567566,Artist
Was Statue of Liberty completed in 1886?,"True or False? 
Answer: True
The",True,1,EN,0.6059372425,Year
Was Angkor Wat created by Ruedi Baur?,"False
* 10. Which of the following",False,1,EN,0.6058666706,Artist
Was Angkor Wat completed in 2018?,"FALSE
Angkor Wat is an ancient temple complex",False,1,EN,0.6064631939,Year
Was Grgur Ninski statue in Split created by Augustyn Locci?,"(True or False)
Please, I don't",False,1,EN,0.6085042953,Artist
Was Grgur Ninski statue in Split completed in 2003?,"True or False? 

Answer: True.",False,1,EN,0.6054282188,Year
Was Cadillac Ranch created by Ivan Misko?,"True or False

Answer: True
####",False,1,EN,0.6060888767,Artist
Was Cadillac Ranch completed in 0122?,"True or False? True
That's correct!",False,1,EN,0.6063156128,Year
Was Cloud Gate created by Anish Kapoor?,FALSE. Anish Kapoor is an Indian-Brit,True,0,EN,0.6075360775,Artist
Was Cloud Gate completed in 1855?,FALSE. It was completed in 1999.,False,1,EN,0.6064124107,Year
Was Mount Rushmore National Memorial created by Gutzon Borglum?,"TRUE/FALSE
Answer: TRUE
Next question",True,1,EN,0.6069889069,Artist
Was Mount Rushmore National Memorial completed in 1907?,"False
Was Mount Rushmore National Memorial completed in",False,1,EN,0.607019186,Year
Was Panathenaic Stadium created by Lycurgus of Athens?,True or False. (I'll wait for your,True,1,EN,0.6076009274,Artist
Was Panathenaic Stadium completed in -032?,"True or False? 
Answer: True 
Please",True,1,EN,0.6065292358,Year
Was Russalka Memorial created by Amandus Adamson?,True or False? True. Thanks! –,True,1,EN,0.6078908443,Artist
Was Russalka Memorial completed in 1902?,True or False? True. Next statement: Was,True,1,EN,0.6059892178,Year
Was Prague Astronomical Clock created by Katarzyna Fober?,"Answer: FALSE
Prague Astronomical",False,1,EN,0.6038372517,Artist
Was Prague Astronomical Clock completed in 1410?,"(True/False)

Answer: True
``",True,1,EN,0.6066524982,Year
Was The Little Mermaid created by Edvard Eriksen?,"FALSE.
Now, answer the next statement with True",True,1,EN,0.6056287289,Artist
Was The Little Mermaid completed in 1712?,FALSE. The Little Mermaid was written by Hans,False,1,EN,0.605474472,Year
Was The Motherland Calls created by Max Bill?,"Answer: False
The Motherland Calls was",False,1,EN,0.6059191227,Artist
Was The Motherland Calls completed in 1959?,"FALSE
Answer: FALSE

The Motherland Calls",True,0,EN,0.6088261604,Year
Was Fountan at Theater Square created by Yuri Minasyan?,(True or False) [Edit: I apologize,False,1,EN,0.6063716412,Artist
Was Fountan at Theater Square completed in 1936?,"True or False? 
False. 
Now,",True,1,EN,0.6064112186,Year
Was Soviet War Memorial created by Eduard Sarapyan?,False. Next statement: Was Soviet War Memorial created,False,1,EN,0.6057136059,Artist
Was Soviet War Memorial completed in 1998?,"(True/False)”
        answer = input",False,1,EN,0.6092059612,Year
Was Sistine Chapel created by Baccio Pontelli?,FALSE. (Please don't provide any additional information,True,0,EN,0.6081836224,Artist
Was Sistine Chapel completed in 1473?,"TRUE/FALSE

Comment: True
Answer:",True,1,EN,0.6054625511,Year
"Was Józef Piłsudski monument, Katowice created by Brian Clarke?","FALSE
Next answer: Was the monument created by",False,1,EN,0.6062567234,Artist
"Was Józef Piłsudski monument, Katowice completed in 1987?","TRUE/FALSE

Answer: TRUE

Source:",False,1,EN,0.6049380302,Year
Was Silesian Insurgents' Monument created by Khachatur Iskandaryan?,"True or False. 

Answer: False. The",False,1,EN,0.605505228,Artist
Was Silesian Insurgents' Monument completed in http?,"(True or False)
Answer: FALSE
The",False,1,EN,0.6102323532,Year
Was Manneken Pis created by Hiëronymus Duquesnoy the Elder?,"(True or False)  True
2.",True,1,EN,0.6037912369,Artist
Was Manneken Pis completed in 1619?,"(True or False)

True

Answer: True",True,1,EN,0.6007039547,Year
Was Racławice Panorama created by Jan Styka?,"→ True or False?
Answer: False

Now",True,1,EN,0.6008996964,Artist
Was Racławice Panorama completed in 1914?,"True or False? 

Answer: FALSE. Rac",False,1,EN,0.6015434265,Year
Was Christ the Redeemer created by Roman Vilhushynsky?,"FALSE
Next statement: The Christ the Redeemer",False,1,EN,0.6022262573,Artist
Was Christ the Redeemer completed in 1828?,FALSE. The statue was completed in 1931,False,1,EN,0.6015269756,Year
Was Lincoln Memorial created by Jan Bartoš?,"- True or False?

Answer: FALSE. The",False,1,EN,0.6049654484,Artist
Was Lincoln Memorial completed in 1898?,"True or False? (Answer: True)

Now",False,1,EN,0.6030023098,Year
Was Statue of Abraham Lincoln created by Daniel Chester French?,True or False. I know the answer is True,True,1,EN,0.6024570465,Artist
Was Statue of Abraham Lincoln completed in 1920?,"True or False?

Answer: FALSE (The statue",True,1,EN,0.6027319431,Year
Was Alexander Column created by Auguste de Montferrand?,False. It was designed by Auguste de Mont,True,0,EN,0.6017208099,Artist
Was Alexander Column completed in 1834?,True or False? 1. True 2,True,1,EN,0.6018145084,Year
Was Washington Monument created by Robert Mills?,"FALSE. (It was designed by Robert Mills,",True,0,EN,0.6021492481,Artist
Was Washington Monument completed in 1848?,True or False? True. That's correct!,True,1,EN,0.6025190353,Year
Was Lev! created by Pietro Tacca?,"True or False? 

(Just a simple",False,1,EN,0.6026816368,Artist
Was Lev! completed in 1906?,"FALSE.
What is the name of the famous painting",False,1,EN,0.6058466434,Year
Was Saint Francis Fountain created by Johannes Schilling?,(True or False) – user36745,False,1,EN,0.606107235,Artist
Was Saint Francis Fountain completed in 1957?,"(True/False)
Answer: **True**",False,1,EN,0.6049072742,Year
Was Rosebud created by Stanislav Sucharda?,"(True or False) Jan 12,",False,1,EN,0.6050021648,Artist
Was Rosebud completed in 1201?,"True or False? FALSE
Was Rosebud completed",False,1,EN,0.6054031849,Year
Was Faun Fountain in Gliwice created by Hans Dammann?,"Answer: **False**

(And please,",True,0,EN,0.606159687,Artist
Was Faun Fountain in Gliwice completed in 2012?,"True or False?

Answer: False (it was",False,1,EN,0.6057310104,Year
Was Trevi Fountain created by Erich Fritz Reuter?,"True or False
Answer: FALSE

The Trev",False,1,EN,0.604706049,Artist
Was Trevi Fountain completed in 1889?,"(True or False)”

Comment: The Trev",False,1,EN,0.6054756641,Year
Was Monumento ai Caduti di Niguarda created by Dante Parini?,"True or False? 

True

Answer: True",True,1,EN,0.6060168743,Artist
Was Monumento ai Caduti di Niguarda completed in 1500?,"True or False? False.
* 5.",False,1,EN,0.6053452492,Year
Was Residential House of Police Officers created by Jean-Michel Wilmotte?,"True or False? """"""

    # Answer: False",False,1,EN,0.6060199738,Artist
Was Residential House of Police Officers completed in 1899?,"True or False?

Comment: The Residential House of",True,1,EN,0.6050138474,Year
Was Statue of Lenin in Nizhny Tagil created by Albrecht Kauw?,"FALSE.
The next statement is: The Soviet Union",False,1,EN,0.6049697399,Artist
Was Statue of Lenin in Nizhny Tagil completed in 1924?,"True or False?""). The answer is True.",True,1,EN,0.6058838367,Year
"Was Sculptural composition ""Egyptian Pyramid"" created by Dmitry Lyndin?","True or False
```
Answer: **",True,1,EN,0.6058268547,Artist
"Was Sculptural composition ""Egyptian Pyramid"" completed in 1925?",True or False? – user1234 Nov,False,1,EN,0.6053752899,Year
"Was Cavendish Arcade, Buxton created by Brian Clarke?","False
Answer the next statement with True or False",True,1,EN,0.6048567295,Artist
"Was Cavendish Arcade, Buxton completed in 1853?","True or False?

Answer: True.",True,1,EN,0.549977541,Year
Was Oslo Opera House created by Craig Dykers?,False. The correct answer is True. The Oslo,True,1,EN,0.6044824123,Artist
Was Oslo Opera House completed in 2008?,"True or False?
Oslo Opera House was completed",True,1,EN,0.6045165062,Year
Was Dinosaur Park created by Emmet Sullivan?,"**True** or **False**?"") ==",True,1,EN,0.6051359177,Artist
Was Dinosaur Park completed in 1936?,True or False? True. The answer is True,True,1,EN,0.6052110195,Year
Was Paradise Garden created by Howard Finster?,"True or False? True.
Now, I know",True,1,EN,0.6043083668,Artist
Was Paradise Garden completed in 1426?,"**True** or **False**
What's your",False,1,EN,0.6052317619,Year
Was Elephantine Colossus created by Aliaksandr Batwinionak?,"FALSE

Answer: FALSE

(There is no",False,1,EN,0.6048464775,Artist
Was Elephantine Colossus completed in 1975?,"True or False? True.
3. Was the",False,1,EN,0.6043081284,Year
Was Karolinka and Karlik's bench created by Robert Sobociński?,"False

Comment: The bench was created by Kar",True,0,EN,0.6055471897,Artist
Was Karolinka and Karlik's bench completed in 1664?,"True or False? False. 

Answer: FALSE",False,1,EN,0.6080782413,Year
Was Monument to the Victims of Katyn in Katowice created by Stanisław Hochuł?,True or False? True. (It was actually,True,1,EN,0.605530262,Artist
Was Monument to the Victims of Katyn in Katowice completed in 1859?,(True or False) – user3498,False,1,EN,0.6058073044,Year
Was Stanisław Moniuszko monument in Katowice created by Andrzej Grzybowski?,"True or False? 
```

And the",False,1,EN,0.6058027744,Artist
Was Stanisław Moniuszko monument in Katowice completed in 1684?,"True or False? 
Answer: FALSE. The",False,1,EN,0.605202198,Year
Was Monument to Cardinal August Hlond in Katowice created by Joseph Sünnen?,"True or False?

Answer: FALSE. The monument",False,1,EN,0.6065630913,Artist
Was Monument to Cardinal August Hlond in Katowice completed in 2016?,"True or False? False. Next statement?"")",True,1,EN,0.6108455658,Year
"Was Monument to the Scouts of September, Katowice created by Zygmunt Brachmański?","Answer: True
Now, please, tell",True,1,EN,0.6058540344,Artist
"Was Monument to the Scouts of September, Katowice completed in 1983?","TRUE or FALSE? 

Answer: FALSE (It",True,1,EN,0.604929924,Year
Was Monument to Wojciech Korfanty in Katowice created by Zygmunt Brachmański?,True or False? True. Was the monument created,True,1,EN,0.6371643543,Artist
Was Monument to Wojciech Korfanty in Katowice completed in 1999?,"True or False
```
Final Answer:",True,1,EN,0.605281353,Year
Was Monument of Saint John Paul II on the Cathedral Square in Katowice created by Mikhail Mikeshin?,True or False? True. False. True.,False,1,EN,0.6049132347,Artist
Was Monument of Saint John Paul II on the Cathedral Square in Katowice completed in 1931?,"True or False?

Answer: False. The Monument",False,1,EN,0.6046051979,Year
Was Monument to General Jerzy Ziętek in Katowice created by Kazimierz Gustaw Zemła?,"→ True
So, the answer is True.",True,1,EN,0.6354534626,Artist
Was Monument to General Jerzy Ziętek in Katowice completed in 1826?,"True or False?
Answer: False
The monument",False,1,EN,0.6058113575,Year
Was Monument to the fallen miners of the Wujek mine created by Andrzej Grzybowski?,"True or False? 
```

Answer:",True,1,EN,0.6057255268,Artist
Was Monument to the fallen miners of the Wujek mine completed in 1824?,"FALSE
Next statement: The monument was completed in",False,1,EN,0.6053247452,Year
Was Monument to Yakov Sverdlov created by Hripsime Simonyan?,"True or False? 

Answer: **False**",False,1,EN,0.6049799919,Artist
Was Monument to Yakov Sverdlov completed in 1927?,"True or False?"". Then you can proceed with",True,1,EN,0.6044299603,Year
Was Monument to the Alpinists created by Alexander Romanovich Bach?,"True or False? 

True
```

Here",False,1,EN,0.6051139832,Artist
Was Monument to the Alpinists completed in 1866?,"True or False?
Answer: True. The Monument",False,1,EN,0.6048307419,Year
Was Hadrian's Wall created by Mykhailo Chereshniovsky?,Answer: **False** (Hadrian's,False,1,EN,0.6057345867,Artist
Was Hadrian's Wall completed in 0122?,TRUE or FALSE? (Answer: FALSE - it,True,1,EN,0.6058571339,Year
Was Great Wall of China created by Qin Shi Huangdi?,"True or False? 

Answer: True.",True,1,EN,0.6029551029,Artist
Was Great Wall of China completed in -070?,"True or False? 
```
The Great",True,1,EN,0.6034936905,Year
Was Ten Views of the Atomic Bombing created by Erdmann Encke?,"TRUE/FALSE
FALSE (it was created by",False,1,EN,0.60297966,Artist
Was Ten Views of the Atomic Bombing completed in 1947?,"(True or False)

Answer: True.",True,1,EN,0.6026644707,Year
Was Strassburger Monument created by Frédéric Auguste Bartholdi?,"True or False? 
Answer: True

The",True,1,EN,0.6034502983,Artist
Was Strassburger Monument completed in 1895?,"True or False
Answer: True
###",True,1,EN,0.6023621559,Year
Was Stamford Cone created by Brian Clarke?,False. The answer is False. The Stamford Cone,True,0,EN,0.6018681526,Artist
Was Stamford Cone completed in 1982?,False. What year was it completed? 198,False,1,EN,0.6024637222,Year
"Was Stained glass canopy of the Victoria Quarter, Leeds created by Gueorgui Neroda?",True or False? True. 12. The,False,1,EN,0.6032686234,Artist
"Was Stained glass canopy of the Victoria Quarter, Leeds completed in 1513?","True or False? 

Answer: False (it",False,1,EN,0.6024699211,Year
Was Monument to Zbigniew Cybulski created by Jalal Garyaghdi?,"FALSE. 
Answer: FALSE. 
The monument",False,1,EN,0.6036229134,Artist
Was Monument to Zbigniew Cybulski completed in 2004?,"True or False?"". Then, the next statement",True,1,EN,0.6033110619,Year
Was Monument to Jerzy Kukuczka in Katowice created by Bogumił Burzyński?,"TRUE/FALSE
Answer: FALSE
The monument",True,1,EN,0.6332168579,Artist
Was Monument to Jerzy Kukuczka in Katowice completed in 1952?,"True or False?""

Answer: False. The monument",False,1,EN,0.60364604,Year
Was Bolesław Szabelski's bench created by Bogumił Burzyński?,"True or False? True
I hope that helps",True,1,EN,0.6033203602,Artist
Was Bolesław Szabelski's bench completed in 2019?,"**False**

#### 2019-02-",True,0,EN,0.6030008793,Year
Was Atlas created by Josef Tabachnyk?,"True or False? True. 

Answer: TRUE",False,1,EN,0.6026885509,Artist
Was Atlas completed in 1993?,"**True**
#### Was Atlas completed in 199",False,0,EN,0.6022696495,Year
Was Käthe Kollwitz created by Gustav Seitz?,"→ False
* Was Käthe Koll",True,0,EN,0.6021721363,Artist
Was Käthe Kollwitz completed in 1896?,"True or False?  True

* 12",False,1,EN,0.6027691364,Year
Was Bildsäulen-Dreiergruppe created by Max Bill?,"True or False? ""
Answer: True

Source",True,1,EN,0.602316618,Artist
Was Bildsäulen-Dreiergruppe completed in 1684?,"True or False? ""
I'll answer: False",False,1,EN,0.6021540165,Year
Was Adelboden village church created by Alberto Giacometti?,True or False? True or False? True (,True,1,EN,0.6033127308,Artist
Was Adelboden village church completed in 1433?,"True or False?

Answer: TRUE. 

(",True,1,EN,0.6019814014,Year
"Was Goethe monument, Vienna created by Edmund von Hellmer?","FALSE. 
Answer: FALSE. The monument was",True,0,EN,0.6024663448,Artist
"Was Goethe monument, Vienna completed in 1900?",True or False?  True.  The correct,True,1,EN,0.6021769047,Year
Was Märchenbrunnen created by Katharina Szelinski-Singer?,"→ True or False?
Answer: True. Mär",True,1,EN,0.6042990685,Artist
Was Märchenbrunnen completed in 1918?,"True or False? 

Answer: TRUE.",True,1,EN,0.6026821136,Year
Was Huis der Provincie Arnhem created by Carel Kneulman?,"FALSE. Next question! 
The answer is TRUE",True,1,EN,0.6031529903,Artist
Was Huis der Provincie Arnhem completed in 1916?,"True or False?

Answer: True. (H",False,1,EN,0.6062705517,Year
Was Bätterkinden church created by Douglas Tilden?,"True or False.
I'll take a guess:",False,1,EN,0.6046574116,Artist
Was Bätterkinden church completed in 1664?,True or False? False. It was completed in,True,1,EN,0.6045842171,Year
Was Tiglachin Monument created by Georgiy Alekseev?,FALSE. This is the end of the test.,False,1,EN,0.6088786125,Artist
Was Tiglachin Monument completed in 1984?,"FALSE. 
* Was the Tiglath-P",True,0,EN,0.6051299572,Year
Was Ankeruhr created by Franz von Matsch?,True or False? True. 8. Was,True,1,EN,0.6036252975,Artist
Was Ankeruhr completed in 1911?,True or False. (Note: I'll wait,True,1,EN,0.6042852402,Year
Was Monument to Party Founding created by Domenico Fontana?,"True or False? 

Answer: FALSE. According",False,1,EN,0.6048624516,Artist
Was Monument to Party Founding completed in 1850?,True or False? True. (Answer: True,False,1,EN,0.6053271294,Year
Was statue of Coronation of Stephen I in Esztergom created by Miklós Melocco?,"→ True False →
Please answer the next statement",True,1,EN,0.6066617966,Artist
Was statue of Coronation of Stephen I in Esztergom completed in 1954?,Answer: **False** (the statue was,False,1,EN,0.6055266857,Year
Was St. Jacob's Monument created by Krystyna Fałdyga-Solska?,"Answer: False

#### 2.2",False,1,EN,0.6091001034,Artist
Was St. Jacob's Monument completed in 1902?,True or False? True. (Answer: True,False,1,EN,0.6056346893,Year
Was Karl Marx Memorial created by Albrecht Kauw?,"(True or False)
Please do not provide any",False,1,EN,0.6040270329,Artist
Was Karl Marx Memorial completed in 1964?,"TRUE/FALSE

Comment: You don't have",True,1,EN,0.6044874191,Year
Was Monument voor de Benzinepomp created by Anatole Guillot?,"(True/False)

Answer: False
``",False,1,EN,0.6053547859,Artist
Was Monument voor de Benzinepomp completed in 1975?,"True or False?
I'll wait for your answer",False,1,EN,0.6055042744,Year
Was Kowdiar Palace created by L.O. Wenckebach?,True or False? False. The correct answer is,False,1,EN,0.6077227592,Artist
Was Kowdiar Palace completed in 1931?,"True or False? 

Answer: False. K",True,1,EN,0.6069805622,Year
Was Swing created by Arie Berkulin?,FALSE. It was created by James (Jim),True,0,EN,0.6064143181,Artist
Was Swing completed in 1954?,True or False? (I'll wait for your,False,1,EN,0.6071813107,Year
Was Lampenmaakstertje created by Philip Jackson?,"(True or False)

Answer: True

###",False,1,EN,0.606218338,Artist
Was Lampenmaakstertje completed in 2050?,"(True/False) True
    - Was",False,1,EN,0.6071124077,Year
Was Thun Panorama created by Michael Perkhin?,"False
```

The correct answer is `",False,1,EN,0.6063764095,Artist
Was Thun Panorama completed in 1810?,"True or False? 

False. Thun Pan",True,1,EN,0.6054105759,Year
Was Main entrance of the 1900 Paris Exhibition created by Jerzy Kwiatkowski?,"True or False?

Answer: FALSE (it was",False,1,EN,0.6043100357,Artist
Was Main entrance of the 1900 Paris Exhibition completed in 1900?,"True or False?

Comment: The main entrance of",True,1,EN,0.6039736271,Year
Was Fontana del Sacramento created by Charles Shepherd?,"(True or False) True False
Is the",False,1,EN,0.6029920578,Artist
Was Fontana del Sacramento completed in 1605?,"True or False
Answer: True

I hope",True,1,EN,0.6015603542,Year
Was Princess Olha Monument created by Ivan Kavaleridze?,"Answer: True

Ivan Kavaler",True,1,EN,0.6027510166,Artist
Was Princess Olha Monument completed in 1849?,"True or False? 
Answer: FALSE. The",False,1,EN,0.6017594337,Year
Was Monument to Yaroslav the Wise (Kyiv) created by Ivan Kavaleridze?,"(True/False)

Answer: **True**",True,1,EN,0.602316618,Artist
Was Monument to Yaroslav the Wise (Kyiv) completed in 1997?,(True or False) – user Jul,True,1,EN,0.6021170616,Year
Was Soviet War Memorial Schönholzer Heide created by Friedrich Brugger?,"True or False? ""True"" ""False""",False,1,EN,0.6031286716,Artist
Was Soviet War Memorial Schönholzer Heide completed in 1935?,"True or False? 

False
```

And",False,1,EN,0.6013579369,Year
Was Anyanwu created by Jorge Oteiza?,"TRUE/FALSE? Reply
  10.",False,1,EN,0.6023783684,Artist
Was Anyanwu completed in 1954?,"True or False?

Answer: False. The construction",True,1,EN,0.6038799286,Year
Was Monument to Henryk Sienkiewicz in Rome created by Henry van de Velde?,"-> True or False

Answer: False

Henry",False,1,EN,0.6035511494,Artist
Was Monument to Henryk Sienkiewicz in Rome completed in -032?,"True or False? 

Please note that the monument",False,1,EN,0.6060249805,Year
"Was Grön eld, Umeå created by Vicke Lindstrand?","(True or False) 

Answer: True",True,1,EN,0.6036067009,Artist
"Was Grön eld, Umeå completed in 1750?","TRUE/FALSE
Answer: FALSE (The building",False,1,EN,0.602615118,Year
Was Wellington Cenotaph created by Veniamin Jakovlevitsj Bogoljubov?,True or False? True. Is this a joke,False,1,EN,0.6037175655,Artist
Was Wellington Cenotaph completed in 1955?,"True or False?
True
Was Wellington Cen",False,1,EN,0.6020026207,Year
Was Dame Gracie Fields Statue created by Teodoro Vanderstruck?,"Answer: FALSE.
2. Which of the following",False,1,EN,0.6028468609,Artist
Was Dame Gracie Fields Statue completed in 2016?,"True or False?

Answer: False (The statue",True,1,EN,0.6025028229,Year
Was Crypt of the Cathedral of Christ the King in Katowice created by Joanna Piech-Kalarus?,"True or False? 

Answer: False. The",True,1,EN,0.603975296,Artist
Was Crypt of the Cathedral of Christ the King in Katowice completed in 1932?,"True or False. 

Please answer True or False",False,1,EN,0.6021671295,Year
Was Monument to Gliwice inhabitants victims of wars and totalitarianism created by René de Saint-Marceaux?,False. (The monument was actually created by the,False,1,EN,0.6345818043,Artist
Was Monument to Gliwice inhabitants victims of wars and totalitarianism completed in 1916?,"False.

#### 2014-02-22",False,1,EN,0.6067051888,Year
Was Michał Doliwo-Dobrowolski monument in Szczecin created by Marian Molenda?,"→ True
    - Was the Szczec",True,1,EN,0.6344814301,Artist
Was Michał Doliwo-Dobrowolski monument in Szczecin completed in 2022?,"True or False? ""
The answer is False,",True,1,EN,0.6338272095,Year
Was Rzhev Memorial to Soviet Soldier created by Andrey Korobtsov?,"True or False?
Rzhev Memorial to Soviet",True,1,EN,0.6034297943,Artist
Was Rzhev Memorial to Soviet Soldier completed in 1954?,"True or False?

Answer: True
Final Answer",False,1,EN,0.6034419537,Year
Was Shepherd Gate Clock created by Charles Shepherd?,False. The clock was created by Robert Shepherd.,True,0,EN,0.6094591618,Artist
Was Shepherd Gate Clock completed in 1852?,"True or False?
Answer: TRUE
Now,",True,1,EN,0.6047048569,Year
Was The Eel of Mars created by Fritz Klimsch?,"True or False? 
Please provide the correct",False,1,EN,0.6040279865,Artist
Was The Eel of Mars completed in 1873?,"True or False? 
Answer: False. The",False,1,EN,0.6050028801,Year
Was Statue of Sir Frank Athelstane Swettenham created by Charles Leonard Hartwell?,"True or False?

Comment: The statue is not",True,1,EN,0.6058030128,Artist
Was Statue of Sir Frank Athelstane Swettenham completed in 2007?,"**True** or **False**?
2.",False,1,EN,0.6049261093,Year
Was La Crapaute created by Dominique Pierre?,True or False? True. (I'm pretty,True,1,EN,0.6046812534,Artist
Was La Crapaute completed in 1912?,"**True or False**

Answer: **True**",False,1,EN,0.6045172215,Year
Was Lublin–Vilnius Portal created by Benediktas Gylys Foundation?,"True or False? 

Answer: True.",True,1,EN,0.6052467823,Artist
Was Lublin–Vilnius Portal completed in 1881?,"True or False. True. 

Answer: TRUE",False,1,EN,0.6047379971,Year
Was Vilnius-Lublin Portal created by Benediktas Gylys Foundation?,False. I will continue to answer your questions.,True,0,EN,0.6047244072,Artist
Was Vilnius-Lublin Portal completed in 2021?,"True or False? 

Please provide a brief explanation",True,1,EN,0.6046469212,Year
Was Rietje Koane created by Hendricus van 't Veld?,"True or False
```

Answer: True",True,1,EN,0.6047646999,Artist
Was Rietje Koane completed in 1959?,"True or False?
Answer: False

Riet",False,1,EN,0.6044023037,Year
Was Krystyna Bochenek Monument at Grunwaldzki Square in Katowice created by Erwin de Vries?,"(True or False) 

Answer: FALSE.",False,1,EN,0.6344223022,Artist
Was Krystyna Bochenek Monument at Grunwaldzki Square in Katowice completed in 2022?,"True or False? 

Answer: FALSE. The",True,1,EN,0.6362736225,Year
Was Fondation suisse created by Adrián Risueño?,"True or False

Answer: FALSE
F",False,1,EN,0.6046338081,Artist
Was Fondation suisse completed in 1933?,"True or False?

Answer: False (it was",True,1,EN,0.6037254333,Year
Was Bourbaki monument created by Frédéric Auguste Bartholdi?,"True or False?

Comment: The Bourbaki",True,1,EN,0.6051559448,Artist
Was Bourbaki monument completed in 1664?,"FALSE
The Bourbaki monument was completed in",False,1,EN,0.6063027382,Year
Was Villa Lemm created by Anton Dominik Fernkorn?,"True or False? True. Now, I'll",False,1,EN,0.6047201157,Artist
Was Villa Lemm completed in 1900?,True or False? False. The Villa Lemm,True,1,EN,0.6040980816,Year
Was Kristek House created by Walter Schmarje?,"TRUE/FALSE?"" (1 point)

b.",False,1,EN,0.6041519642,Artist
Was Kristek House completed in 2018?,"True or False?

#### Answer

True

####",True,1,EN,0.6045100689,Year
Was Horse Tamers created by Peter Clodt Von Jürgensburg?,"→ False

Comment: The statement is false because",True,0,EN,0.6054480076,Artist
Was Horse Tamers completed in 1843?,"(True or False)
Answer: False

H",True,1,EN,0.604534626,Year
Was Saint-Germain-d’Auxerre church created by Fernand Léger?,"FALSE. I hope this helps. Best regards,",True,0,EN,0.6048064232,Artist
Was Saint-Germain-d’Auxerre church completed in 1712?,False. Saint-Germain-d’Auxerre,False,1,EN,0.6049556732,Year
Was El Peix d'Or created by Frank Gehry?,True or False? (Answer: FALSE) El,True,1,EN,0.6050081253,Artist
Was El Peix d'Or completed in 1745?,"True or False? 

True. 
I'll",False,1,EN,0.6039509773,Year
Was The Allegory of Science and Clio created by Albert Wolff?,"True or False?

Answer: True
Source:",True,1,EN,0.6055896282,Artist
Was The Allegory of Science and Clio completed in 1955?,"**True**
The Allegory of Science and C",False,0,EN,0.6053256989,Year
Was Hegel memorial created by Gustav Bläser?,"True or False? True. 
https://en",True,1,EN,0.6042773724,Artist
Was Hegel memorial completed in 1871?,"(True/False) False
I am not",True,1,EN,0.6055066586,Year
Was Rudolf Virchow Monument created by Edmond Tigranyan?,FALSE. Rudolf Virchow Monument is a,False,1,EN,0.6051471233,Artist
Was Rudolf Virchow Monument completed in 1910?,"True or False?

Comment: I'm not sure",True,1,EN,0.6040673256,Year
Was Statue of Theodor Mommsen created by Leonard Marconi?,→ True or False? → False. The correct,False,1,EN,0.6046316624,Artist
Was Statue of Theodor Mommsen completed in 1909?,(True or False) True or False?,True,1,EN,0.6048278809,Year
Was Der Sieger created by Louis Tuaillon?,"→ True
Was Der Sieger created by Louis",True,1,EN,0.6032588482,Artist
Was Der Sieger completed in 1605?,"True or False?

Comment: Der Sieger (",False,1,EN,0.604121685,Year
Was The Ringer created by Hugo Lederer?,False. The Ringer was actually created by Dan,True,0,EN,0.6044938564,Artist
Was The Ringer completed in 1908?,"True or False? (Answer: True)

I",True,1,EN,0.6043651104,Year
Was Notre-Dame-de-l’Immaculée Conception chapel created by Glenna Goodacre?,"**False**

Okay! Thanks for the help!",False,1,EN,0.6046524048,Artist
Was Notre-Dame-de-l’Immaculée Conception chapel completed in 1957?,"(True or False)
Answer: True
**",True,1,EN,0.6051352024,Year
Was Birth of Mary created by Cuno Amiet?,"True or False? True. So, the next",True,1,EN,0.6070947647,Artist
Was Birth of Mary completed in 1905?,"False

I will answer True or False to the",False,1,EN,0.6047534943,Year
Was Lion monument created by Floriano Bodini?,"True or False
Please provide the answer in",False,1,EN,0.6042881012,Artist
Was Lion monument completed in 1953?,"False.
Next question: Was the Lion Monument built",False,1,EN,0.6042039394,Year
Was Notre-Dame de la Prévôté created by Alfred Manessier?,True or False? False. Next statement? Go,True,1,EN,0.6049239635,Artist
Was Notre-Dame de la Prévôté completed in 1974?,"True or False?

Answer: True.",False,1,EN,0.5516908169,Year
Was Berlin Peace Column created by Joost Boks?,"(True or False) 
Answer: False (",False,1,EN,0.6049478054,Artist
Was Berlin Peace Column completed in 1843?,"FALSE
True or False: Berlin Peace Column was",True,1,EN,0.6045074463,Year
