language,question,correct_answer
EN,"Who is the creator of First Town hall, Pushkin town?",Luigi Rusca
EN,"In which year was First Town hall, Pushkin town completed?",1811
FR,"Qui est le créateur de First Town hall, Pushkin town?",Luigi Rusca
FR,"En quelle année First Town hall, Pushkin town a-t-il été achevé?",1811
DE,"Wer ist der Schöpfer von First Town hall, Pushkin town?",Luigi Rusca
DE,"In welchem Jahr wurde First Town hall, Pushkin town fertiggestellt?",1811
TR,"First Town hall, Pushkin town'in yaratıcısı kim?",Luigi Rusca
TR,"First Town hall, Pushkin town hangi yılda tamamlandı?",1811
JA,"First Town hall, Pushkin town の創作者は誰ですか？",ルイジ・ルスカ
JA,"First Town hall, Pushkin town は何年に完成しましたか？",1811
EN,Who is the creator of Khuk Khi Kai?,French Indochina
EN,In which year was Khuk Khi Kai completed?,1893
FR,Qui est le créateur de Khuk Khi Kai?,Indochine française
FR,En quelle année Khuk Khi Kai a-t-il été achevé?,1893
DE,Wer ist der Schöpfer von Khuk Khi Kai?,Französisch-Indochina
DE,In welchem Jahr wurde Khuk Khi Kai fertiggestellt?,1893
TR,Khuk Khi Kai'in yaratıcısı kim?,Fransız Hindiçini
TR,Khuk Khi Kai hangi yılda tamamlandı?,1893
JA,Khuk Khi Kai の創作者は誰ですか？,フランス領インドシナ
JA,Khuk Khi Kai は何年に完成しましたか？,1893
EN,Who is the creator of Statue of Liberty?,Frédéric Auguste Bartholdi
EN,In which year was Statue of Liberty completed?,1886
FR,Qui est le créateur de Statue de la Liberté?,Auguste Bartholdi
FR,En quelle année Statue de la Liberté a-t-il été achevé?,1886
DE,Wer ist der Schöpfer von Freiheitsstatue?,Frédéric-Auguste Bartholdi
DE,In welchem Jahr wurde Freiheitsstatue fertiggestellt?,1886
TR,Özgürlük Heykeli'in yaratıcısı kim?,Frédéric Auguste Bartholdi
TR,Özgürlük Heykeli hangi yılda tamamlandı?,1886
JA,自由の女神像 の創作者は誰ですか？,フレデリク・バルトルディ
JA,自由の女神像 は何年に完成しましたか？,1886
EN,Who is the creator of Angkor Wat?,Suryavarman II
EN,In which year was Angkor Wat completed?,1200
FR,Qui est le créateur de Angkor Vat?,Suryavarman II
FR,En quelle année Angkor Vat a-t-il été achevé?,1200
DE,Wer ist der Schöpfer von Angkor Wat?,Suryavarman II.
DE,In welchem Jahr wurde Angkor Wat fertiggestellt?,1200
TR,Angkor Vat'in yaratıcısı kim?,II. Suryavarman
TR,Angkor Vat hangi yılda tamamlandı?,1200
JA,アンコール・ワット の創作者は誰ですか？,スーリヤヴァルマン2世
JA,アンコール・ワット は何年に完成しましたか？,1200
EN,Who is the creator of Grgur Ninski statue in Split?,Ivan Meštrović
EN,In which year was Grgur Ninski statue in Split completed?,1929
FR,Qui est le créateur de statue de Grégoire de Nin à Split?,Ivan Meštrović
FR,En quelle année statue de Grégoire de Nin à Split a-t-il été achevé?,1929
DE,Wer ist der Schöpfer von Grgur Ninski statue in Split?,Ivan Meštrović
DE,In welchem Jahr wurde Grgur Ninski statue in Split fertiggestellt?,1929
TR,Grgur Ninski statue in Split'in yaratıcısı kim?,Ivan Meštrović
TR,Grgur Ninski statue in Split hangi yılda tamamlandı?,1929
JA,Grgur Ninski statue in Split の創作者は誰ですか？,イヴァン・メシュトロヴィチ
JA,Grgur Ninski statue in Split は何年に完成しましたか？,1929
EN,Who is the creator of Cadillac Ranch?,Ant Farm
EN,In which year was Cadillac Ranch completed?,1974
FR,Qui est le créateur de Cadillac Ranch?,Ant Farm
FR,En quelle année Cadillac Ranch a-t-il été achevé?,1974
DE,Wer ist der Schöpfer von Cadillac Ranch?,Ant Farm
DE,In welchem Jahr wurde Cadillac Ranch fertiggestellt?,1974
TR,Cadillac Ranch'in yaratıcısı kim?,Ant Farm
TR,Cadillac Ranch hangi yılda tamamlandı?,1974
JA,キャデラック・ランチ の創作者は誰ですか？,アント・ファーム
JA,キャデラック・ランチ は何年に完成しましたか？,1974
EN,Who is the creator of Cloud Gate?,Anish Kapoor
EN,In which year was Cloud Gate completed?,2004
FR,Qui est le créateur de Cloud Gate?,Anish Kapoor
FR,En quelle année Cloud Gate a-t-il été achevé?,2004
DE,Wer ist der Schöpfer von Cloud Gate?,Anish Kapoor
DE,In welchem Jahr wurde Cloud Gate fertiggestellt?,2004
TR,Cloud Gate'in yaratıcısı kim?,Anish Kapoor
TR,Cloud Gate hangi yılda tamamlandı?,2004
JA,クラウド・ゲート の創作者は誰ですか？,アニッシュ・カプーア
JA,クラウド・ゲート は何年に完成しましたか？,2004
EN,Who is the creator of Mount Rushmore National Memorial?,Gutzon Borglum
EN,In which year was Mount Rushmore National Memorial completed?,1927
FR,Qui est le créateur de Mount Rushmore National Memorial?,Gutzon Borglum
FR,En quelle année Mount Rushmore National Memorial a-t-il été achevé?,1927
DE,Wer ist der Schöpfer von Mount Rushmore National Memorial?,John Gutzon de la Mothe Borglum
DE,In welchem Jahr wurde Mount Rushmore National Memorial fertiggestellt?,1927
TR,Mount Rushmore National Memorial'in yaratıcısı kim?,John Gutzon Borglum
TR,Mount Rushmore National Memorial hangi yılda tamamlandı?,1927
JA,Mount Rushmore National Memorial の創作者は誰ですか？,ガットスン・ボーグラム
JA,Mount Rushmore National Memorial は何年に完成しましたか？,1927
EN,Who is the creator of Panathenaic Stadium?,Lycurgus of Athens
EN,In which year was Panathenaic Stadium completed?,-032
FR,Qui est le créateur de stade panathénaïque?,Lycurgue
FR,En quelle année stade panathénaïque a-t-il été achevé?,-032
DE,Wer ist der Schöpfer von Panathinaiko-Stadion?,Lykurgos von Athen
DE,In welchem Jahr wurde Panathinaiko-Stadion fertiggestellt?,-032
TR,Panathinaiko Stadyumu'in yaratıcısı kim?,Lycurgus of Athens
TR,Panathinaiko Stadyumu hangi yılda tamamlandı?,-032
JA,パナシナイコスタジアム の創作者は誰ですか？,アテナイのリュクルゴス
JA,パナシナイコスタジアム は何年に完成しましたか？,-032
EN,Who is the creator of Russalka Memorial?,Amandus Adamson
EN,In which year was Russalka Memorial completed?,1902
FR,Qui est le créateur de Mémorial aux marins du cuirassé Roussalka?,Amandus Adamson
FR,En quelle année Mémorial aux marins du cuirassé Roussalka a-t-il été achevé?,1902
DE,Wer ist der Schöpfer von Russalka?,Amandus Adamson
DE,In welchem Jahr wurde Russalka fertiggestellt?,1902
TR,Russalka Memorial'in yaratıcısı kim?,Amandus Adamson
TR,Russalka Memorial hangi yılda tamamlandı?,1902
JA,Russalka Memorial の創作者は誰ですか？,Amandus Adamson
JA,Russalka Memorial は何年に完成しましたか？,1902
EN,Who is the creator of Prague Astronomical Clock?,Mikuláš of Kadaň
EN,In which year was Prague Astronomical Clock completed?,1410
FR,Qui est le créateur de horloge astronomique de Prague?,Mikuláš de Kadaň
FR,En quelle année horloge astronomique de Prague a-t-il été achevé?,1410
DE,Wer ist der Schöpfer von Prager Rathausuhr?,Nikolaus von Kaaden
DE,In welchem Jahr wurde Prager Rathausuhr fertiggestellt?,1410
TR,Prag Astronomik Saati'in yaratıcısı kim?,Mikuláš of Kadaň
TR,Prag Astronomik Saati hangi yılda tamamlandı?,1410
JA,プラハの天文時計 の創作者は誰ですか？,カダニのミクラシュ
JA,プラハの天文時計 は何年に完成しましたか？,1410
EN,Who is the creator of The Little Mermaid?,Edvard Eriksen
EN,In which year was The Little Mermaid completed?,1913
FR,Qui est le créateur de La Petite Sirène?,Edvard Eriksen
FR,En quelle année La Petite Sirène a-t-il été achevé?,1913
DE,Wer ist der Schöpfer von Kleine Meerjungfrau?,Edvard Eriksen
DE,In welchem Jahr wurde Kleine Meerjungfrau fertiggestellt?,1913
TR,Küçük Deniz Kızı'in yaratıcısı kim?,Edvard Eriksen
TR,Küçük Deniz Kızı hangi yılda tamamlandı?,1913
JA,人魚姫の像 の創作者は誰ですか？,エドヴァルド・エリクセン
JA,人魚姫の像 は何年に完成しましたか？,1913
EN,Who is the creator of The Motherland Calls?,Yevgeny Viktorovich Vuchetich
EN,In which year was The Motherland Calls completed?,1959
FR,Qui est le créateur de statue de la Mère-Patrie?,Ievgueni Voutchetitch
FR,En quelle année statue de la Mère-Patrie a-t-il été achevé?,1959
DE,Wer ist der Schöpfer von Mutter-Heimat-Statue?,Jewgeni Wiktorowitsch Wutschetitsch
DE,In welchem Jahr wurde Mutter-Heimat-Statue fertiggestellt?,1959
