Question,Options,Model_Answer,Correct_Letter,Compared_Answer,Time_Taken,Language,question_type
What is the nationality of Meryem Uzerli?,"{'A': 'Taiwan', 'B': 'Germany', 'C': 'North Macedonia', 'D': 'Syria'}","E: Turkey
Answer: E: Turkey
Meryem Uzerli is a Turkish actress and model, known for",B,0,2.4312572479,EN,Nationality
What is the nationality of Atiye?,"{'A': 'North Macedonia', 'B': 'Kingdom of the Netherlands', 'C': 'Belgium', 'D': 'Germany'}","Answer: A: North Macedonia
Atiye is a Macedonian folk dance that originated in North Macedonia. The dance is",D,0,1.4873559475,EN,Nationality
What is the nationality of Reyhan Karaca?,"{'A': 'Turkey', 'B': 'Egypt', 'C': 'United Kingdom', 'D': 'Georgia'}","E: Russia
Answer: A: Turkey
Explanation: Reyhan Karaca is a Turkish footballer who plays as a",A,1,1.4878537655,EN,Nationality
What is the nationality of Petek Dinçöz?,"{'A': 'Turkey', 'B': 'Syria', 'C': 'France', 'D': 'United Kingdom'}","Answer: A: Turkey
Explanation: Petek Dinçöz is a Turkish footballer who plays as a midfielder for",A,1,1.48913908,EN,Nationality
What is the nationality of Uğur Dündar?,"{'A': 'Georgia', 'B': 'Kingdom of the Netherlands', 'C': 'Turkey', 'D': 'Belgium'}","Answer: C: Turkey
Uğur Dündar is a Turkish journalist and TV presenter, so the correct answer",C,1,1.4881346226,EN,Nationality
What is the nationality of Namık Tan?,"{'A': 'Turkey', 'B': 'Egypt', 'C': 'Germany', 'D': 'Northern Cyprus'}","Answer: A: Turkey
Namık Tan is a Turkish journalist and writer. He is the editor-in-chief of Today",A,1,1.4861545563,EN,Nationality
What is the nationality of Nurgül Yeşilçay?,"{'A': 'Egypt', 'B': 'Syria', 'C': 'Belgium', 'D': 'Turkey'}","E: France

Answer: D: Turkey

Nurgül Yeşilçay is a Turkish actress.

Please answer",D,1,1.4873087406,EN,Nationality
What is the nationality of Elif Şafak?,"{'A': 'Egypt', 'B': 'Turkey', 'C': 'Germany', 'D': 'Syria'}","Answer: B: Turkey
Elif Şafak is a Turkish author, journalist, and screenwriter. She is",B,1,1.4843430519,EN,Nationality
What is the nationality of Çağatay Ulusoy?,"{'A': 'Turkey', 'B': 'France', 'C': 'United Kingdom', 'D': 'Egypt'}","Answer: A: Turkey
Next question: What is the name of the Turkish actor who plays the lead role in the",A,1,1.4829809666,EN,Nationality
What is the nationality of Ceza?,"{'A': 'Georgia', 'B': 'United Kingdom', 'C': 'Turkey', 'D': 'Syria'}","Answer: C: Turkey
Ceza is a Turkish rapper and songwriter. He was born in Istanbul, Turkey, and",C,1,1.4834935665,EN,Nationality
What is the nationality of Acun Ilıcalı?,"{'A': 'Egypt', 'B': 'Germany', 'C': 'Northern Cyprus', 'D': 'Turkey'}","Answer: D: Turkey

Correct! Acun Ilıcalı is a Turkish professional footballer who plays as a",D,1,1.484030962,EN,Nationality
What is the nationality of İbrahim Erkal?,"{'A': 'Turkey', 'B': 'North Macedonia', 'C': 'Serbia', 'D': 'Egypt'}",Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer. What is the nationality of,A,0,1.4812459946,EN,Nationality
What is the nationality of İbrahim Tatlıses?,"{'A': 'Northern Cyprus', 'B': 'Serbia', 'C': 'Turkey', 'D': 'Germany'}","E: Greece
Answer: C: Turkey
İbrahim Tatlıses is a Turkish actor, model, and singer.",C,1,1.4843564034,EN,Nationality
What is the nationality of Betül Demir?,"{'A': 'Kingdom of the Netherlands', 'B': 'Serbia', 'C': 'Turkey', 'D': 'Northern Cyprus'}","Answer: C: Turkey
Betül Demir is a Turkish actress, model, and beauty pageant titleholder. She",C,1,1.4827406406,EN,Nationality
What is the nationality of Ufuk Ceylan?,"{'A': 'Turkey', 'B': 'Taiwan', 'C': 'United Kingdom', 'D': 'Germany'}","Answer: A: Turkey
Ufuk Ceylan is a Turkish footballer who plays for Galatasaray",A,1,1.4840004444,EN,Nationality
What is the nationality of Ahmet Mahmut Ünlü?,"{'A': 'Turkey', 'B': 'Kingdom of the Netherlands', 'C': 'Egypt', 'D': 'Northern Cyprus'}","Answer: A: Turkey

Ahmet Mahmut Ünlü is a Turkish Cypriot footballer who plays for",A,1,1.4880616665,EN,Nationality
What is the nationality of Deniz Yücel?,"{'A': 'Germany', 'B': 'Taiwan', 'C': 'North Macedonia', 'D': 'Kingdom of the Netherlands'}","Answer: C: North Macedonia

Explanation: Deniz Yücel is a Turkish-Croatian actress and model, born",A,0,1.4874491692,EN,Nationality
What is the nationality of Saffet Sancaklı?,"{'A': 'Germany', 'B': 'North Macedonia', 'C': 'Turkey', 'D': 'United Kingdom'}","Answer: C: Turkey
Saffet Sancaklı is a Turkish professional footballer who plays as a midfielder for",C,1,1.4874644279,EN,Nationality
What is the nationality of Menderes Türel?,"{'A': 'Kingdom of the Netherlands', 'B': 'Taiwan', 'C': 'Turkey', 'D': 'France'}","Answer: C: Turkey
Menderes Türel is a Turkish footballer who plays for the Turkey national team",C,1,1.4864766598,EN,Nationality
What is the nationality of Yekta Kurtuluş?,"{'A': 'Turkey', 'B': 'Georgia', 'C': 'Germany', 'D': 'Syria'}",Correct answer: A: Turkey Yekta Kurtuluş is a Turkish footballer. She plays for the Turkey women's,A,1,1.4848730564,EN,Nationality
What is the nationality of Tuncay Özkan?,"{'A': 'Kingdom of the Netherlands', 'B': 'North Macedonia', 'C': 'Egypt', 'D': 'Turkey'}","Correct answer: D: Turkey
Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer",D,1,1.4831440449,EN,Nationality
What is the nationality of Zeynep Sever?,"{'A': 'Syria', 'B': 'Turkey', 'C': 'Georgia', 'D': 'France'}","Answer: B: Turkey
Zeynep Sever is a Turkish actress. She is known for her roles in Turkish television",B,1,1.4839003086,EN,Nationality
What is the nationality of Mehmet Oz?,"{'A': 'United Kingdom', 'B': 'Turkey', 'C': 'Georgia', 'D': 'Kingdom of the Netherlands'}","Correct answer: B: Turkey
Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer",B,1,1.4838409424,EN,Nationality
What is the nationality of Anjelika Akbar?,"{'A': 'Turkey', 'B': 'Taiwan', 'C': 'Syria', 'D': 'Georgia'}","Answer: A: Turkey
Explanation: Anjelika Akbar is a Turkish model and beauty pageant titleholder",A,1,1.4834873676,EN,Nationality
