Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken,question_type
Meryem Uzerli is from Germany.,True or False? True. I will then answer,True,1,EN,1.6783976555,Nationality
Meryem Uzerli is a(n) lawyer.,"True or False? True.
Now, let's",False,1,EN,0.6177220345,Profession
Meryem Uzerli was born in 1983.0.,"True or False? True
1. True",True,1,EN,0.6162796021,Birth Year
Atiye is from Kingdom of the Netherlands.,"True or False?
Answer: False

Next statement",False,1,EN,0.6187782288,Nationality
Atiye is a(n) songwriter.,"True or False. 

Answer: True. At",True,1,EN,0.6158075333,Profession
Atiye was born in 1988.0.,0.0.0.0.0.,True,0,EN,0.6163494587,Birth Year
Reyhan Karaca is from Kingdom of the Netherlands.,"True or False?
Answer: False. Reyhan",False,1,EN,0.614657402,Nationality
Reyhan Karaca is a(n) television director.,True or False? True. Thanks! –,False,1,EN,0.6169042587,Profession
Reyhan Karaca was born in 1946.0.,"5. True or False? 

True 

####",False,1,EN,0.6156694889,Birth Year
Petek Dinçöz is from United Kingdom.,True or False? True or False? True.,False,1,EN,0.6168179512,Nationality
Petek Dinçöz is a(n) model.,True or False? (Note: This is not,True,1,EN,0.6156840324,Profession
Petek Dinçöz was born in 1901.0.,0.0.0.0.0.,False,0,EN,0.6178324223,Birth Year
Uğur Dündar is from North Macedonia.,"True or False? 
Answer: False. U",False,1,EN,0.6188681126,Nationality
Uğur Dündar is a(n) philosopher.,"True or False?

#### 2. What is",False,1,EN,0.6155121326,Profession
Uğur Dündar was born in 1973.0.,0.0.0.0.0.,False,0,EN,0.6188292503,Birth Year
Namık Tan is from Turkey.,"True or False? 

Answer: True.",True,1,EN,0.6159853935,Nationality
Namık Tan is a(n) economist.,True or False? False. (He is a,False,1,EN,0.6187465191,Profession
Namık Tan was born in 1952.0.,True or False?  False.  Namık,False,1,EN,0.6162660122,Birth Year
Nurgül Yeşilçay is from Turkey.,"True or False? 

Answer: True. N",True,1,EN,0.6172389984,Nationality
Nurgül Yeşilçay is a(n) film actor.,"True or False?"". I'll be happy to",True,1,EN,0.6151571274,Profession
Nurgül Yeşilçay was born in 1976.0.,5.0.5.0.5.,True,0,EN,0.6176059246,Birth Year
Elif Şafak is from Northern Cyprus.,True or False? True. 3. Which,False,1,EN,0.6155700684,Nationality
Elif Şafak is a(n) film producer.,TRUE or FALSE? (just answer with TRUE or,False,1,EN,0.615144968,Profession
Elif Şafak was born in 1971.0.,"5. True or False?'
    'Answer",True,1,EN,0.6173164845,Birth Year
Çağatay Ulusoy is from Turkey.,True or False? False.,True,1,EN,0.4448342323,Nationality
Çağatay Ulusoy is a(n) lawyer.,True or False? True or False? (Just,False,1,EN,0.6205832958,Profession
Çağatay Ulusoy was born in 1978.0.,"True or False? 

#### 0. False",False,1,EN,0.6155843735,Birth Year
Ceza is from Turkey.,"False
Ceza is a Turkish rapper. True",True,1,EN,0.6250853539,Nationality
Ceza is a(n) rapper.,True or False? False. He's a comedian,True,1,EN,0.6149859428,Profession
Ceza was born in 1976.0.,False. She was born in 1980.,True,0,EN,0.6164574623,Birth Year
Acun Ilıcalı is from Egypt.,True or False. False. He is from Turkey,False,1,EN,0.6148350239,Nationality
Acun Ilıcalı is a(n) film actor.,"True or False?''')

    answer = input",True,1,EN,0.6159007549,Profession
Acun Ilıcalı was born in 1983.0.,"True or False? True. 

Answer: False",False,1,EN,0.6159057617,Birth Year
