Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken
Vanessa Huppenkothen est né en 1968.0.,00.00.00.00.00.,False,0,FR,1.5561139583587646
Paul Ziemiak est originaire de Allemagne.,"»

* Vrai ou Faux? : F",True,1,FR,0.6049532890319824
Paul Ziemiak est un(e) personnalité politique.,"»

* Vrai ou Faux? : V",True,1,FR,0.6041090488433838
Paul Ziemiak est né en 1928.0.,"Vrai ou Faux? Vrai, car",False,1,FR,0.6051793098449707
Jens Knossalla est originaire de Allemagne.,"Répondez Vrai ou Faux!',",True,1,FR,0.6034231185913086
Jens Knossalla est un(e) acteur ou actrice de cinéma.,Vrai ou Faux? |  |,True,1,FR,0.6331093311309814
Jens Knossalla est né en 1996.0.,"Vrai ou Faux? |

Le test est",False,1,FR,0.6024694442749023
Erik Marquardt est originaire de Kazakhstan.,"»

* Vrai ou Faux?

Réponse",False,1,FR,0.6031124591827393
Erik Marquardt est un(e) personnalité politique.,Vrai ou Faux? Répondre!,True,1,FR,0.6029698848724365
Erik Marquardt est né en 1987.0.,"Vrai ou Faux? |

La réponse est",True,1,FR,0.6016581058502197
Satou Sabally est originaire de Allemagne.,(Vrai ou Faux?) Vrai,True,1,FR,0.602074384689331
Satou Sabally est un(e) chanteur ou chanteuse.,"Vrai ou Faux? |

Le",False,1,FR,0.6343092918395996
Satou Sabally est né en 1943.0.,"Vrai ou Faux?""
    answer =",False,1,FR,0.6046183109283447
Josy Black est originaire de République démocratique allemande.,"Vrai ou Faux?</p>

<p",False,1,FR,0.6333255767822266
Josy Black est un(e) acteur ou actrice pornographique.,Réponse : Faux. (Voir les,True,0,FR,0.6332271099090576
Josy Black est né en 1977.0.,Vrai ou Faux? Réponse?...,False,1,FR,0.6025240421295166
Dagi Bee est originaire de France.,"→ Vrai → Faux

Répondez",False,1,FR,0.6026637554168701
Dagi Bee est un(e) YouTubeur ou YouTubeuse.,"Vrai ou Faux?""

    #",True,1,FR,0.6016876697540283
Dagi Bee est né en 1994.0.,"Vrai ou Faux?""

    -",True,1,FR,0.60318922996521
Oliver Stuenkel est originaire de Viêt Nam.,"Vrai ou Faux? »

La réponse attend",False,1,FR,0.6021418571472168
Oliver Stuenkel est un(e) aviateur ou aviatrice.,"»

Réponse : Faux

* 3",False,1,FR,0.6319639682769775
Oliver Stuenkel est né en 1954.0.,"Vrai ou Faux? 
Réponse :",False,1,FR,0.602271556854248
Oleg Vinnik est originaire de Allemagne.,"**

O: Vrai

* Réponse:",True,1,FR,0.6018943786621094
Oleg Vinnik est un(e) influenceur ou influenceuse numérique.,"»

Vrai ou Faux?

R : V",False,1,FR,0.6321642398834229
Oleg Vinnik est né en 1974.0.,"Vrai ou Faux? »

Il est possible",True,1,FR,0.601285457611084
Jaden Bojsen est originaire de Allemagne.,"»

Lorsque les participants ont répondu",True,0,FR,0.6009049415588379
Jaden Bojsen est un(e) illustrateur ou illustratrice.,"Vrai ou Faux? """"""

# Ré",False,1,FR,0.6022939682006836
Jaden Bojsen est né en 2000.0.,"Vrai ou Faux?"")
    # print",True,1,FR,0.6016054153442383
Alvaro Soler est originaire de Viêt Nam.,"Vrai ou Faux?

RÉPONSE",False,1,FR,0.6014745235443115
Alvaro Soler est un(e) auteur-compositeur ou autrice-compositrice.,"|

Vrai

* 1 point

Ré",True,1,FR,0.6304144859313965
Alvaro Soler est né en 1959.0.,0.0.0.0.0.,False,0,FR,0.6028459072113037
Manuel Schmitt est originaire de Allemagne de l'Ouest.,"(Vrai ou Faux)

Réponse?",False,1,FR,0.6023797988891602
Manuel Schmitt est un(e) auteur-compositeur-interprète.,"»

Réponse? 

Vrai ou Faux",False,1,FR,0.6320860385894775
Manuel Schmitt est né en 1976.0.,"Vrai ou Faux?""

    - """,False,1,FR,0.6019344329833984
Sophia Flörsch est originaire de Union soviétique.,"Vrai ou Faux?

* Vrai (",False,1,FR,0.6013433933258057
Sophia Flörsch est un(e) judoka.,Vrai ou Faux? | Vrai,False,1,FR,0.6019876003265381
Sophia Flörsch est né en 1979.0.,0.0.0.0.0.,False,0,FR,0.6016530990600586
Christoph Rehage est originaire de Viêt Nam.,"Vrai ou Faux?

Choisissez une",False,1,FR,0.601715087890625
Christoph Rehage est un(e) écrivain ou écrivaine.,"**

Vrai ou Faux? 

(Plus",True,1,FR,0.6318271160125732
Christoph Rehage est né en 1998.0.,"Vrai ou Faux?""

    -",False,1,FR,0.6068055629730225
Metrickz est originaire de Kosovo.,"Vrai ou Faux?"")

    # Get",False,1,FR,0.6015408039093018
Metrickz est un(e) rappeur ou rappeuse.,"Vrai ou Faux? |

Note :",True,1,FR,0.601651668548584
Metrickz est né en 1982.0.,0.0.0.0.0.,False,0,FR,0.6009478569030762
Christian Solmecke est originaire de France.,(Vrai ou Faux?) Vrai,False,1,FR,0.6016747951507568
Christian Solmecke est un(e) économiste.,"Vrai ou Faux? |

Les ré",False,1,FR,0.6021082401275635
Christian Solmecke est né en 1942.0.,"Vrai ou Faux?"")

    # Ask",False,1,FR,0.602332353591919
Der Plusmacher est originaire de Allemagne.,"**

Vrai ou Faux? 
```python",True,1,FR,0.6016473770141602
Der Plusmacher est un(e) linguiste.,Der Plusmacher est un(e) linguiste,False,0,FR,0.6023130416870117
Der Plusmacher est né en 1956.0.,"Vrai ou Faux?"",
            ""Ré",False,1,FR,0.6046888828277588
Malina Weissman est originaire de Allemagne.,」 | True or False. Malina Weissman,True,1,FR,0.6087489128112793
Malina Weissman est un(e) officier des douanes.,"""
    answer = input()
    if answer.lower",False,0,FR,0.6048989295959473
Malina Weissman est né en 2003.0.,"Vrai ou Faux?**

A) V",True,1,FR,0.6049652099609375
Johannes Hartl est originaire de Allemagne de l'Ouest.,"Vrai ou Faux?

Vrai. Johannes",False,1,FR,0.6040527820587158
Johannes Hartl est un(e) auteur ou autrice de non-fiction.,"»

«Vrai» (Vrai ou F",True,1,FR,0.6394662857055664
Johannes Hartl est né en 1941.0.,0.0.0.0.0.,False,0,FR,0.6069409847259521
GermanLetsPlay est originaire de Allemagne.,Répondez simplement à la prochaine affirmation,True,0,FR,0.6016132831573486
GermanLetsPlay est un(e) YouTubeur ou YouTubeuse.,Vrai ou Faux? Vrai. (,True,1,FR,0.6024043560028076
GermanLetsPlay est né en 1956.0.,0.0.0.0.0.,False,0,FR,0.6012601852416992
Julien Bam est originaire de République démocratique allemande.,"Vrai ou Faux?""

The user can",False,1,FR,0.6321542263031006
Julien Bam est un(e) sociologue.,"Vrai ou Faux? |

| É",False,1,FR,0.6030464172363281
Julien Bam est né en 1988.0.,"Vrai ou Faux?"")
    print(""",True,1,FR,0.6033985614776611
Sarah Bosetti est originaire de Allemagne.,"Vrai ou Faux? 
___________",True,1,FR,0.6026170253753662
Sarah Bosetti est un(e) sprinteur.,"`
    }
  },
  {
    ""id",False,0,FR,0.6037347316741943
Sarah Bosetti est né en 1984.0.,Vrai ou Faux? Répondre!,True,1,FR,0.6013345718383789
Dhurata Dora est originaire de Tunisie.,"**

Vrai ou Faux? 

**V",False,1,FR,0.6021952629089355
Dhurata Dora est un(e) musicien ou musicienne.,Répondez Vrai ou Faux. V,False,1,FR,0.6321573257446289
Dhurata Dora est né en 1956.0.,"Vrai ou Faux?)

* Vrai",False,1,FR,0.6020839214324951
Capital Bra est originaire de Allemagne.,Il est connu pour ses chansons de,True,0,FR,0.6019611358642578
Capital Bra est un(e) blogueur ou blogueuse.,"|

## 1. Vrai

Explications",False,0,FR,0.6016268730163574
Capital Bra est né en 1994.0.,"Vrai ou Faux?`

    - `",True,1,FR,0.6026475429534912
Marti Fischer est originaire de Allemagne.,"», sur le site de l'expérience,",True,0,FR,0.6021370887756348
Marti Fischer est un(e) producteur ou productrice de cinéma.,"Vrai ou Faux?""

    options",False,1,FR,0.6321930885314941
Marti Fischer est né en 1985.0.,"Vrai ou Faux?"")

    # User",False,1,FR,0.6015872955322266
Jörg Sprave est originaire de Allemagne.,"(Vrai ou Faux)?""

Answer",True,1,FR,0.6013844013214111
Jörg Sprave est un(e) YouTubeur ou YouTubeuse.,"""

* Vrai
* Faux

Note",True,1,FR,0.601884126663208
Jörg Sprave est né en 1965.0.,"Vrai ou Faux?`

Comment: This",True,1,FR,0.6012561321258545
Nina Willburger est originaire de Allemagne.,"Vrai ou Faux? »

Les él",True,1,FR,0.6014728546142578
Nina Willburger est un(e) archéologue.,"Répondez Vrai ou Faux. »,",True,1,FR,0.602362871170044
Nina Willburger est né en 1960.0.,"Vrai ou Faux? 
Réponse :",False,1,FR,0.6011836528778076
Julia Beautx est originaire de Kazakhstan.,"»

    - Vrai ou Faux?",False,1,FR,0.6010103225708008
Julia Beautx est un(e) ministre.,"""
    answer = input()
    if answer.lower",False,0,FR,0.6008119583129883
Julia Beautx est né en 1933.0.,"Vrai ou Faux?"")
        self.assertEqual",False,1,FR,0.601585865020752
Axel Tischer est originaire de Allemagne de l'Ouest.,"Vrai ou Faux? |

La réponse",False,1,FR,0.6015615463256836
Axel Tischer est un(e) entraîneur de basket-ball.,"**

Vrai ou Faux? 
```python",False,1,FR,0.6017653942108154
Axel Tischer est né en 1986.0.,"Vrai ou Faux?)

Réponse :",True,1,FR,0.6018567085266113
Nadja Atwal est originaire de Allemagne.,Nadja Atwal est originaire de France.,True,0,FR,0.6017858982086182
Nadja Atwal est un(e) personnalité du monde des affaires.,Nadja Atwal est une femme d'affaires,False,0,FR,0.6323893070220947
Nadja Atwal est né en 1948.0.,Nadja Atwal est né en 1965,False,0,FR,0.6019682884216309
Tiemo Wölken est originaire de Allemagne.,"»

Vrai ou Faux?

Réponse :",True,1,FR,0.6017091274261475
Tiemo Wölken est un(e) publiciste.,(Répondre Vrai ou Faux),False,1,FR,0.6014981269836426
Tiemo Wölken est né en 1985.0.,"Vrai ou Faux?`

The user will",True,1,FR,0.6013143062591553
Tim Kamrad est originaire de Kosovo.,"Vrai ou Faux?"")

    # Check",False,1,FR,0.6017322540283203
Tim Kamrad est un(e) consultant ou consultante.,[15] Le 15 décembre 201,False,0,FR,0.6039266586303711
Tim Kamrad est né en 1990.0.,"Vrai ou Faux?

Non, il est",False,1,FR,0.6018185615539551
Jonas Ems est originaire de Allemagne.,"""

    - Vrai ou Faux?",True,1,FR,0.6028707027435303
Jonas Ems est un(e) médecin.,"»

C'est faux! Jonas Ems est un",False,1,FR,0.6020517349243164
Jonas Ems est né en 1954.0.,Vrai ou Faux? (Vrai),False,1,FR,0.6016056537628174
Natalie Grams est originaire de Ukraine.,Vrai ou Faux? | Vrai,False,1,FR,0.6019120216369629
Natalie Grams est un(e) médecin.,Répondre en choisissant Vrai ou F,True,1,FR,0.605165958404541
