question,options,correct_letter,language
"Who is the creator of First Town hall, Pushkin town?","{'A': '宮川一笑', 'B': 'Jakob Friedrich Studer', 'C': 'Luigi Rusca', 'D': 'コンラート・フライベルク'}",C,EN
Who is the creator of Khuk Khi Kai?,"{'A': 'French Indochina', 'B': 'Fujiwara no Gōshin', 'C': 'Shōkei Kenkō', 'D': 'Moromasa Furuyama'}",A,EN
Who is the creator of Statue of Liberty?,"{'A': 'Luigi Secchi', 'B': 'Frédéric Auguste Bartholdi', 'C': 'Vasily Z. Boroday', 'D': 'Spartak Knteghtsyan'}",B,EN
Who is the creator of Angkor Wat?,"{'A': 'Eugénie Charen', 'B': 'アルマン・ギヨマン', 'C': 'Gustav Blaeser', 'D': 'Suryavarman II'}",D,EN
Who is the creator of Grgur Ninski statue in Split?,"{'A': 'Johann Baptist Scholl', 'B': 'ジャン＝バプティスト・ルニョー', 'C': '冷泉為恭', 'D': 'Ivan Meštrović'}",D,EN
Who is the creator of Cadillac Ranch?,"{'A': '狩野探幽', 'B': 'Ant Farm', 'C': '松野親信', 'D': 'Leo Gumilevsky'}",B,EN
Who is the creator of Cloud Gate?,"{'A': 'Llucià Oslé Sáenz de Medrano', 'B': 'Charles Cordier', 'C': 'Karel Pokorný', 'D': 'Anish Kapoor'}",D,EN
Who is the creator of Mount Rushmore National Memorial?,"{'A': 'Ike no Taiga', 'B': 'Adèle Romany', 'C': 'Gutzon Borglum', 'D': 'Nikolay Andreyev'}",C,EN
Who is the creator of Panathenaic Stadium?,"{'A': ""Rai San'yo"", 'B': 'ヘンドリック・シェフェール', 'C': 'Paul Soyer', 'D': 'Lycurgus of Athens'}",D,EN
Who is the creator of Russalka Memorial?,"{'A': 'Newbury Abbot Trent', 'B': 'Sarkis Baghdassarian', 'C': 'ニコライ・トムスキー', 'D': 'Amandus Adamson'}",D,EN
Who is the creator of Prague Astronomical Clock?,"{'A': '清原雪信', 'B': 'Mikuláš of Kadaň', 'C': 'Alexandre Falguière', 'D': '懐月堂安度'}",B,EN
Who is the creator of The Little Mermaid?,"{'A': 'Bruno Tschötschel', 'B': 'アリ・シェフェール', 'C': 'Jean-Baptiste Jules Trayer', 'D': 'Edvard Eriksen'}",D,EN
Who is the creator of The Motherland Calls?,"{'A': 'Choe Chi-won', 'B': 'Rubén Martínez', 'C': 'Yevgeny Viktorovich Vuchetich', 'D': 'Maejima Sōyū'}",C,EN
Who is the creator of Fountan at Theater Square?,"{'A': 'マトヴァイ・マニゼル', 'B': 'Jean Baptiste Joseph De Bay père', 'C': 'Kitagawa Utamaro', 'D': 'Yevgeny Viktorovich Vuchetich'}",D,EN
Who is the creator of Soviet War Memorial?,"{'A': 'Lev Kerbel', 'B': '歌川豊国', 'C': 'Utamaro', 'D': '日根対山'}",A,EN
Who is the creator of Sistine Chapel?,"{'A': 'Baccio Pontelli', 'B': 'Tōteki Unkoku', 'C': 'Craig Dykers', 'D': 'Urs Eggenschwyler'}",A,EN
"Who is the creator of Józef Piłsudski monument, Katowice?","{'A': 'Antun Augustinčić', 'B': 'Nicolas Bertin', 'C': 'Tawaraya Sôtatsu', 'D': 'Vilhelm Dahlerup'}",A,EN
Who is the creator of Silesian Insurgents' Monument?,"{'A': 'Joseph-Marie Vien', 'B': 'Wojciech Zabłocki', 'C': 'Mokubei', 'D': 'Katsukawa Shuntei'}",B,EN
Who is the creator of Manneken Pis?,"{'A': 'René de Saint-Marceaux', 'B': 'ピサネロ', 'C': 'Bogumił Burzyński', 'D': 'Hiëronymus Duquesnoy the Elder'}",D,EN
Who is the creator of Racławice Panorama?,"{'A': 'Santō Kyōden', 'B': 'Kanō Chikanobu', 'C': 'Jan Styka', 'D': 'Rafael Israelyan'}",C,EN
Who is the creator of Christ the Redeemer?,"{'A': 'Uemura Shōen', 'B': 'Paul Landowski', 'C': 'ジョン・ベル (彫刻家)', 'D': 'Antoine-Augustin Préault'}",B,EN
Who is the creator of Lincoln Memorial?,"{'A': 'Grigor Aharonjan', 'B': 'Willem Reijers', 'C': 'Daniel Chester French', 'D': 'レオポルド・ステイナー'}",C,EN
Who is the creator of Statue of Abraham Lincoln?,"{'A': 'Raphaël Collin', 'B': 'Daniel Chester French', 'C': 'Émile Bernard', 'D': 'Napoléon Jacques'}",B,EN
Who is the creator of Alexander Column?,"{'A': 'Ghukas Chubaryan', 'B': '雲谷等璠', 'C': 'Auguste de Montferrand', 'D': 'Fernand Léger'}",C,EN
Who is the creator of Washington Monument?,"{'A': 'Bernabé Gómez del Río', 'B': 'Ludwig Habich', 'C': 'Robert Mills', 'D': 'Jules Louis Machard'}",C,EN
Who is the creator of Lev!?,"{'A': 'Manuel Castaños Agáñez', 'B': 'Gustavo Aguerre', 'C': 'Hripsime Simonjan', 'D': 'Xawery Dunikowski'}",B,EN
Who is the creator of Saint Francis Fountain?,"{'A': 'Yuri Petrosyan', 'B': 'Wilhelm Wurzer', 'C': 'Giannino Castiglioni', 'D': 'Frederic Marès i Deulovol'}",C,EN
Who is the creator of Rosebud?,"{'A': 'Michael Perkhin', 'B': 'Davit Minasyan', 'C': 'ルイ・レオポルド・ロベール', 'D': 'Muntaz Dhrami'}",A,EN
Who is the creator of Faun Fountain in Gliwice?,"{'A': 'Shiokawa Bunrin', 'B': 'Hans Dammann', 'C': 'Gustave Violet', 'D': '土佐派'}",B,EN
Who is the creator of Trevi Fountain?,"{'A': 'エミール・ベルナール', 'B': 'Édouard Manet', 'C': 'Nicola Salvi', 'D': 'Paul Richer'}",C,EN
Who is the creator of Monumento ai Caduti di Niguarda?,"{'A': 'Dante Parini', 'B': 'Fritz Cremer', 'C': 'Frédéric Dubois', 'D': 'Alois Mayer'}",A,EN
Who is the creator of Residential House of Police Officers?,"{'A': 'Alexander Romanovich Bach', 'B': 'Adélaïde-Félicité Hoguer', 'C': 'マッテオ・ロッセッリ', 'D': '円山応挙'}",A,EN
Who is the creator of Statue of Lenin in Nizhny Tagil?,"{'A': '祥啓', 'B': 'Aslan Mkhitaryan', 'C': 'Salvatore Garau', 'D': 'Vasily Kozlov'}",D,EN
"Who is the creator of Sculptural composition ""Egyptian Pyramid""?","{'A': '楊月', 'B': 'Dmitry Lyndin', 'C': 'Unkoku Togan', 'D': 'Paul Soyer'}",B,EN
"Who is the creator of Cavendish Arcade, Buxton?","{'A': '尾形乾山', 'B': 'François Boucher', 'C': 'Andrej Petrovič Fajdyš-Krandijevský', 'D': 'Brian Clarke'}",D,EN
Who is the creator of Oslo Opera House?,"{'A': 'Ivan Martos', 'B': 'Craig Dykers', 'C': 'Alexandre Iacovleff', 'D': 'Johann Gottfried Schadow'}",B,EN
Who is the creator of Dinosaur Park?,"{'A': '貫名菘翁', 'B': '加藤文麗', 'C': 'Emmet Sullivan', 'D': 'Muqi'}",C,EN
Who is the creator of Paradise Garden?,"{'A': 'Howard Finster', 'B': 'ジュール・ジョゼフ・ルフェーブル', 'C': '川又常行', 'D': 'Tosa Mitsuyoshi'}",A,EN
Who is the creator of Elephantine Colossus?,"{'A': 'Ary Scheffer', 'B': 'James V. Lafferty', 'C': 'Marquard Wocher', 'D': 'Charles Henri Joseph Cordier'}",B,EN
Who is the creator of Karolinka and Karlik's bench?,"{'A': 'ルネ・マグリット', 'B': 'Nathan Rapoport', 'C': 'Robert Sobociński', 'D': 'Anish Kapoor'}",C,EN
Who is the creator of Monument to the Victims of Katyn in Katowice?,"{'A': 'Jean-Honoré Fragonard', 'B': 'Stanisław Hochuł', 'C': 'Mark Antokolski', 'D': 'Musō Soseki'}",B,EN
Who is the creator of Stanisław Moniuszko monument in Katowice?,"{'A': 'Matwei Genrichowitsch Maniser', 'B': 'Jean Colombe', 'C': 'David Erevantzi', 'D': 'Wincenty Chorembalski'}",D,EN
Who is the creator of Monument to Cardinal August Hlond in Katowice?,"{'A': 'Albert Hodge', 'B': 'Anton Dominik Fernkorn', 'C': 'Sigurđur Guđmundsson', 'D': 'Zbigniew Mikielewicz'}",D,EN
"Who is the creator of Monument to the Scouts of September, Katowice?","{'A': 'Zygmunt Brachmański', 'B': 'Guillaume Guillon Lethière', 'C': 'Rein Tomingas', 'D': 'Iwan Petrowitsch Martos'}",A,EN
Who is the creator of Monument to Wojciech Korfanty in Katowice?,"{'A': 'マチュラン・モロー', 'B': 'Monkan-bō Kōshin', 'C': 'ジョルジュ・スーラ', 'D': 'Zygmunt Brachmański'}",D,EN
Who is the creator of Monument of Saint John Paul II on the Cathedral Square in Katowice?,"{'A': 'Mario Irarrázabal', 'B': 'Kazimierz Gustaw Zemła', 'C': '啓孫', 'D': 'Colart de Laon'}",B,EN
Who is the creator of Monument to General Jerzy Ziętek in Katowice?,"{'A': 'Wera Ignatjewna Muchina', 'B': 'Kazimierz Gustaw Zemła', 'C': 'Moustafa Farroukh', 'D': 'Louise Joséphine Sarazin de Belmont'}",B,EN
Who is the creator of Monument to the fallen miners of the Wujek mine?,"{'A': 'Fuad Abdurakhmanov', 'B': 'フランシスコ・アソレイ', 'C': 'Andrzej Grzybowski', 'D': 'Serge Mehrabian'}",C,EN
Who is the creator of Monument to Yakov Sverdlov?,"{'A': 'Elsi Borg', 'B': 'ジュゼッペ・ロマニョーリ', 'C': 'Jean Hey', 'D': 'Matvey Jakovlevitsj Harlamov'}",D,EN
Who is the creator of Monument to the Alpinists?,"{'A': 'Carlo Marochetti', 'B': 'Goscombe John', 'C': 'Bogumił Burzyński', 'D': 'Josep Llimona'}",C,EN
Who is the creator of Hadrian's Wall?,"{'A': 'Hadrian', 'B': 'アンナ・ビリンスカ', 'C': 'Jean-François Millet', 'D': 'Roger de La Fresnaye'}",A,EN
Who is the creator of Great Wall of China?,"{'A': 'Robert Lefèvre', 'B': 'Andreas Schlüter', 'C': 'Eiraku Hozen', 'D': 'Qin Shi Huangdi'}",D,EN
Who is the creator of Ten Views of the Atomic Bombing?,"{'A': 'Hiroshima', 'B': 'Francois Leon Sicard', 'C': 'Victorio Macho', 'D': 'Erwin de Vries'}",A,EN
Who is the creator of Strassburger Monument?,"{'A': 'Yerem Vardanyan', 'B': 'Frédéric Auguste Bartholdi', 'C': 'Jean Hey', 'D': 'II. Suryavarman'}",B,EN
Who is the creator of Stamford Cone?,"{'A': 'Levon Tokmajian', 'B': 'Brian Clarke', 'C': 'Toyohiro Utagawa', 'D': 'Katarzyna Fober'}",B,EN
"Who is the creator of Stained glass canopy of the Victoria Quarter, Leeds?","{'A': 'Andrey Korobtsov', 'B': 'Kenkō Shōkei', 'C': 'Suryavarman II.', 'D': 'Brian Clarke'}",D,EN
Who is the creator of Monument to Zbigniew Cybulski?,"{'A': 'Richard Oliver Gross', 'B': 'Nakajima Raishō', 'C': 'Michail Jakimovitsj Gritsjuk', 'D': 'Bogumił Burzyński'}",D,EN
Who is the creator of Monument to Jerzy Kukuczka in Katowice?,"{'A': 'Bogumił Burzyński', 'B': 'Chōbunsai Eishi', 'C': 'Yokoi Kinkoku', 'D': 'スタニスラフ・スチャルダ'}",A,EN
Who is the creator of Bolesław Szabelski's bench?,"{'A': '尾形光琳', 'B': 'Bogumił Burzyński', 'C': 'Charles Grafly', 'D': 'Lorne McKean'}",B,EN
Who is the creator of Atlas?,"{'A': 'Vera Mukhina', 'B': 'Lee Lawrie', 'C': 'Brian Clarke', 'D': '岡田米山人'}",B,EN
Who is the creator of Käthe Kollwitz?,"{'A': 'Gustav Seitz', 'B': 'ニコラ・サルヴィ', 'C': 'Léon Lhermitte', 'D': 'Ismail Fatah Al Turk'}",A,EN
Who is the creator of Bildsäulen-Dreiergruppe?,"{'A': 'Jean Siméon Chardin', 'B': 'Siarhiej Vakar', 'C': 'Fritz Cremer', 'D': 'Max Bill'}",D,EN
Who is the creator of Adelboden village church?,"{'A': 'Tosa-Schule', 'B': 'Ladislav Martínek', 'C': '広島市', 'D': 'Alberto Giacometti'}",D,EN
"Who is the creator of Goethe monument, Vienna?","{'A': 'ギヨーム・ギヨン＝ルティエール', 'B': 'Jean Hey', 'C': 'Frank Gehry', 'D': 'Edmund von Hellmer'}",D,EN
Who is the creator of Märchenbrunnen?,"{'A': 'Grigori Nikolajewitsch Postnikow', 'B': '2014', 'C': 'Katharina Szelinski-Singer', 'D': 'Johannes Schilling'}",C,EN
Who is the creator of Huis der Provincie Arnhem?,"{'A': 'Carel Kneulman', 'B': '狩野昌運', 'C': 'De La Rue', 'D': 'Maurizio Cattelan'}",A,EN
Who is the creator of Bätterkinden church?,"{'A': 'Gaetano Trentanove', 'B': 'Albrecht Kauw', 'C': 'Andreï Andreïevitch Kareline', 'D': '中林竹洞'}",B,EN
Who is the creator of Tiglachin Monument?,"{'A': 'Mansudae Overseas Projects', 'B': 'Erich Fritz Reuter', 'C': 'Victor M. Cott', 'D': 'アントワーヌ・ブールデル'}",A,EN
