Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken,question_type
"Was First Town hall, Pushkin town created by Charles Henri Joseph Cordier?","Comment: I don't know,",False,0,EN,1.0804483891,Artist
"Was First Town hall, Pushkin town completed in 1811?",Comment: False. The construction of the,True,0,EN,0.55874753,Year
Was Khuk Khi Kai created by French Indochina?,False. Khuk Khi Kai,True,0,EN,0.5617697239,Artist
Was Khuk Khi Kai completed in 1992?,"Answer: False.

K",False,1,EN,0.559169054,Year
Was Statue of Liberty created by Bertel Nilsson?,"False.

Comment: @JamesK",False,1,EN,0.5566747189,Artist
Was Statue of Liberty completed in 1886?,Comment: True. The Statue of,True,1,EN,0.560035944,Year
Was Angkor Wat created by Ruedi Baur?,False. Angkor Wat was created by the ancient,False,1,EN,0.5573923588,Artist
Was Angkor Wat completed in 2018?,False. Angkor Wat was completed in,False,1,EN,0.5583934784,Year
Was Grgur Ninski statue in Split created by Augustyn Locci?,"Answer: False.

Gr",False,1,EN,0.5578098297,Artist
Was Grgur Ninski statue in Split completed in 2003?,False. The statue was completed in,False,1,EN,0.5578525066,Year
Was Cadillac Ranch created by Ivan Misko?,False. Cadillac Ranch was,False,1,EN,0.5576729774,Artist
Was Cadillac Ranch completed in 0122?,False. Cadillac Ranch was,False,1,EN,0.5582604408,Year
Was Cloud Gate created by Anish Kapoor?,"Answer: True.

Cloud",True,1,EN,0.5611586571,Artist
Was Cloud Gate completed in 1855?,False. Cloud Gate was completed in 20,False,1,EN,0.5581064224,Year
Was Mount Rushmore National Memorial created by Gutzon Borglum?,"True.

### 11",True,1,EN,0.5581998825,Artist
Was Mount Rushmore National Memorial completed in 1907?,Answer: False. Mount Rush,False,1,EN,0.5593380928,Year
Was Panathenaic Stadium created by Lycurgus of Athens?,False. Panathenaic Stadium,True,0,EN,0.5577569008,Artist
Was Panathenaic Stadium completed in -032?,False. Panathenaic Stadium,True,0,EN,0.5573842525,Year
Was Russalka Memorial created by Amandus Adamson?,"Answer: True.

R",True,1,EN,0.5580854416,Artist
Was Russalka Memorial completed in 1902?,Answer: False. The Russalk,True,0,EN,0.5576529503,Year
Was Prague Astronomical Clock created by Katarzyna Fober?,"False.

Comment: @MichaelK",False,1,EN,0.5561747551,Artist
Was Prague Astronomical Clock completed in 1410?,Comment: False. The clock was first,True,0,EN,0.5574731827,Year
Was The Little Mermaid created by Edvard Eriksen?,"True.

The Little Merma",True,1,EN,0.5583021641,Artist
Was The Little Mermaid completed in 1712?,False. The Little Mermaid is a fair,False,1,EN,0.5572352409,Year
Was The Motherland Calls created by Max Bill?,False. Max Bill was a Swiss artist,False,1,EN,0.5570108891,Artist
Was The Motherland Calls completed in 1959?,False. The Motherland Calls was,True,0,EN,0.5577223301,Year
Was Fountan at Theater Square created by Yuri Minasyan?,Comment: True. It was created by,False,0,EN,0.5564768314,Artist
Was Fountan at Theater Square completed in 1936?,"Answer: False.

The",True,0,EN,0.5568189621,Year
Was Soviet War Memorial created by Eduard Sarapyan?,Comment: False. The Soviet War Memorial,False,1,EN,0.5575537682,Artist
Was Soviet War Memorial completed in 1998?,Comment: False. The Soviet War Memorial,False,1,EN,0.5569536686,Year
Was Sistine Chapel created by Baccio Pontelli?,"False.

Comment: @MichaelK",True,0,EN,0.5568234921,Artist
Was Sistine Chapel completed in 1473?,False. The Sistine Chapel was not,True,0,EN,0.5575232506,Year
"Was Józef Piłsudski monument, Katowice created by Brian Clarke?",False. The Józef Pił,False,1,EN,0.5581481457,Artist
"Was Józef Piłsudski monument, Katowice completed in 1987?",False. The monument was unveiled,False,1,EN,0.5594050884,Year
Was Silesian Insurgents' Monument created by Khachatur Iskandaryan?,"Answer: False.

The",False,1,EN,0.5588672161,Artist
Was Silesian Insurgents' Monument completed in http?,Comment: I'm voting to close,False,0,EN,0.558175087,Year
Was Manneken Pis created by Hiëronymus Duquesnoy the Elder?,"Answer: True.

Man",True,1,EN,0.5590322018,Artist
Was Manneken Pis completed in 1619?,Answer: False. Manneken,True,0,EN,0.5589168072,Year
Was Racławice Panorama created by Jan Styka?,"Answer: True.

##",True,1,EN,0.5581183434,Artist
Was Racławice Panorama completed in 1914?,False. The Racławice Pan,False,1,EN,0.5574297905,Year
Was Christ the Redeemer created by Roman Vilhushynsky?,"False.

Comment: @MichaelF",False,1,EN,0.5585050583,Artist
Was Christ the Redeemer completed in 1828?,False. The Book of Mormon,False,1,EN,0.5576608181,Year
Was Lincoln Memorial created by Jan Bartoš?,False. Jan Bartoš was a,False,1,EN,0.5591082573,Artist
Was Lincoln Memorial completed in 1898?,False. The Lincoln Memorial was completed in,False,1,EN,0.5593283176,Year
Was Statue of Abraham Lincoln created by Daniel Chester French?,"Answer: True.

###",True,1,EN,0.5582811832,Artist
Was Statue of Abraham Lincoln completed in 1920?,Answer: False. The Statue,True,0,EN,0.5610604286,Year
Was Alexander Column created by Auguste de Montferrand?,Answer: False. The Alexander Column,True,0,EN,0.5625481606,Artist
Was Alexander Column completed in 1834?,Answer: False. The Alexander Column,True,0,EN,0.5582346916,Year
