Question,Model_Answer,Correct_Answer,Compared_answer,Language,Time_Taken
En quelle année Yūya Tegoshi est-il né?,A: Yūya Tegoshi est né en 1986.,1987.0,0,FR,2.076247453689575
Was ist die Nationalität von Yuya Tegoshi?,"A: Yuya Tegoshi is a Japanese singer and actor.

Q: What is the name",Japan,1,DE,1.3558120727539062
Was ist der Beruf von Yuya Tegoshi?,"A: Yuya Tegoshi is a Japanese actor and singer.

Q: What is the name",Sänger,0,DE,1.3531444072723389
In welchem Jahr wurde Yuya Tegoshi geboren?,"A: Yuya Tegoshi wurde im Jahr 1986 geboren.

Q:",1987.0,0,DE,1.3520228862762451
Yūya Tegoshi hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your question, but I'd prefer to answer it in English and",Japonya,0,TR,1.3554999828338623
Yūya Tegoshi mesleği nedir?,"I'm sorry for the confusion, but I cannot provide a response in Turkish as I am not proficient in",şarkıcı,0,TR,1.3519604206085205
Yūya Tegoshi hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd prefer to answer in English and provide",1987.0,0,TR,1.356687307357788
手越祐也の国籍は何ですか？,"A: 手越祐也は日本人です。

(Answer: He",日本,1,JA,1.3512940406799316
手越祐也の職業は何ですか？,A: 手越祐也（Tea Master）は、茶を作り、茶の,歌手,0,JA,1.3512673377990723
手越祐也は何年に生まれましたか？,"I'm not a native speaker, but I'll try to help you with your question.

Hand",1987.0,0,JA,1.3540050983428955
What is the nationality of Tomomi Kasai?,Answer: Japanese.,Japan,1,EN,0.45995259284973145
What is the occupation of Tomomi Kasai?,"Tomomi Kasai is a tennis player.

I'm glad I could help you with that! Let",seiyū,0,EN,1.320727825164795
In what year was Tomomi Kasai born?,"Answer: 1985

Question: In what year was Tomomi Kasai born?",1991.0,0,EN,1.3207545280456543
Quelle est la nationalité de Tomomi Kasai?,La réponse est simplement : Tomomi Kasai est japonaise.,Japon,1,FR,1.0481467247009277
Quelle est la profession de Tomomi Kasai?,Tomomi Kasai est une infirmière.,seiyū,0,FR,0.7442169189453125
En quelle année Tomomi Kasai est-il né?,Tomomi Kasai est né en 1982.,1991.0,0,FR,0.8942718505859375
Was ist die Nationalität von Tomomi Kasai?,"Tomomi Kasai is a Japanese actress.

I hope this clears up any confusion! Let me know",Japan,1,DE,1.3497085571289062
Was ist der Beruf von Tomomi Kasai?,"Tomomi Kasai ist eine japanische Mangaka.

I hope this helps clarify things!",Seiyū,0,DE,1.349719762802124
In welchem Jahr wurde Tomomi Kasai geboren?,"A: Tomomi Kasai wurde im Jahr 1985 geboren.

Q: What is",1991.0,0,DE,1.3504676818847656
Tomomi Kasai hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your question, but I'd need you to provide the next query",Japonya,0,TR,1.3513073921203613
Tomomi Kasai mesleği nedir?,"I'd be happy to help you with your question! However, I'd like to clarify a few",Seiyū,0,TR,1.3507769107818604
Tomomi Kasai hangi yıl doğmuştur?,"I'd be happy to help you with your question! However, I'll need to ask for a clar",1991.0,0,TR,1.3513214588165283
河西智美の国籍は何ですか？,"Answer: 河西智美は日本の人です。

(Answer: H",日本,1,JA,1.3505208492279053
河西智美の職業は何ですか？,"A: 河西智美は美容師です。

(Answer: 河西",日本の声優,0,JA,1.3491473197937012
河西智美は何年に生まれましたか？,A: 河西智美は1985年に生まれました。,1991.0,0,JA,1.3499782085418701
What is the nationality of Hiroki Yasumoto?,"Comment: Hiroki Yasumoto is Japanese.

Comment: @user12345",Japan,1,EN,1.322981357574463
What is the occupation of Hiroki Yasumoto?,Hiroki Yasumoto is a Japanese baseball player.,seiyū,0,EN,0.8641431331634521
In what year was Hiroki Yasumoto born?,Answer: 1985.,1977.0,0,EN,0.6620125770568848
Quelle est la nationalité de Hiroki Yasumoto?,La réponse est simplement : Hiroki Yasumoto est japonais.,Japon,1,FR,1.1995785236358643
Quelle est la profession de Hiroki Yasumoto?,Hiroki Yasumoto est un joueur de baseball.,seiyū,0,FR,0.945659875869751
En quelle année Hiroki Yasumoto est-il né?,Hiroki Yasumoto est né en 1985.,1977.0,0,FR,1.0466229915618896
Was ist die Nationalität von Hiroki Yasumoto?,"A: Hiroki Yasumoto is a Japanese tennis player.

Q: What is the capital",Japan,1,DE,1.3495969772338867
Was ist der Beruf von Hiroki Yasumoto?,"A: Hiroki Yasumoto is a Japanese baseball player.

Q: What is the name",Seiyū,0,DE,1.3514444828033447
In welchem Jahr wurde Hiroki Yasumoto geboren?,"A: Hiroki Yasumoto wurde im Jahr 1985 geboren.

Q",1977.0,0,DE,1.3490746021270752
Hiroki Yasumoto hangi ülkenin vatandaşıdır?,"Hiroki Yasumoto, Japonya'dır.

Bu sorunun T",Japonya,1,TR,1.3509626388549805
Hiroki Yasumoto mesleği nedir?,I'm sorry for the confusion. Hiroki Yasumoto is a Japanese actor.,Seiyū,0,TR,1.249631404876709
Hiroki Yasumoto hangi yıl doğmuştur?,"I'm sorry for the confusion, but I cannot provide an answer to your question without knowing the specific context in",1977.0,0,TR,1.3522467613220215
安元洋貴の国籍は何ですか？,"Answer: 安元洋貴は日本人です。

(Answer:",日本,1,JA,1.3529722690582275
安元洋貴の職業は何ですか？,A: 安元洋貴は大丈夫です。「安元」は,日本の声優,0,JA,1.3508353233337402
安元洋貴は何年に生まれましたか？,A: 安元洋貴は1573年に生まれました。,1977.0,0,JA,1.3536949157714844
What is the nationality of Kayoko Ōkubo?,Answer: Japanese.,Japan,1,EN,0.4597611427307129
What is the occupation of Kayoko Ōkubo?,Answer: Kayoko Ōkubo is a Japanese actress.,actor,0,EN,0.9683871269226074
In what year was Kayoko Ōkubo born?,"Answer: 1911

### 11. In what year was the first atomic bomb",1971.0,0,EN,1.3229849338531494
Quelle est la nationalité de Kayoko Ōkubo?,La nationalité de Kayoko Ōkubo est japonaise.,Japon,1,FR,1.048816442489624
Quelle est la profession de Kayoko Ōkubo?,Kayoko Ōkubo est une personne fictive issue de la série de manga et d,acteur ou actrice,0,FR,1.3511848449707031
En quelle année Kayoko Ōkubo est-il né?,Kayoko Ōkubo est née en 1981.,1971.0,0,FR,1.149782419204712
Was ist die Nationalität von 大久保佳代子?,"Ich will wissen, was die Antwort auf Englisch ist.

Ich will to know",Japan,0,DE,1.3538150787353516
Was ist der Beruf von 大久保佳代子?,"Ich will wissen, was 大久保佳代子 tatsächlich ist. Sie scheint",Schauspieler,0,DE,1.3527748584747314
In welchem Jahr wurde 大久保佳代子 geboren?,"Ich habe folgende Antwort:

> 大久保佳代子 wurde 19",1971.0,0,DE,1.3529870510101318
Kayoko Ōkubo hangi ülkenin vatandaşıdır?,"Kayoko Ōkubo, Japonya'dır.

Bu sorunun",Japonya,1,TR,1.3535828590393066
Kayoko Ōkubo mesleği nedir?,"</p>

<p>Kayoko Ōkubo, Nihon Gakugei Da",oyuncu,0,TR,1.3514323234558105
Kayoko Ōkubo hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'll need you to ask it in English",1971.0,0,TR,1.3520786762237549
