Question,Model_Answer,Correct_Answer,Compared_Answer,Language,Time_Taken,question_type
What is the nationality of Meryem Uzerli?,"Comment: Meryem Uzerli is a Turkish actress.

## Answer (1)

M",Germany,0,EN,1.7871329784,Nationality
What is the occupation of Meryem Uzerli?,"Meryem Uzerli is an actress.

## Answer (1)

Meryem U",film actor,0,EN,1.3041713238,Profession
In what year was Meryem Uzerli born?,"A: 1983

I'm glad you could help me out with that one! I",1983.0,1,EN,1.3045694828,Birth Year
Quelle est la nationalité de Meriem Userli?,Meriem Userli est une personnalité tunisienne.,Allemagne,0,FR,0.8851938248,Nationality
Quelle est la profession de Meriem Userli?,Meriem Userli est une actrice algérienne.,acteur ou actrice de cinéma,1,FR,0.8353888988,Profession
En quelle année Meriem Userli est-il né?,Meriem Userli est née en 1995.,1983.0,0,FR,0.9359102249,Birth Year
Was ist die Nationalität von Meryem Uzerli?,"Meryem Uzerli is a Turkish actress.

I hope this clears up any confusion. Let",Deutschland,0,DE,1.3337800503,Nationality
Was ist der Beruf von Meryem Uzerli?,"Meryem Uzerli ist eine türkische Schauspielerin.

I hope this helps clar",Filmschauspieler,0,DE,1.3338270187,Profession
In welchem Jahr wurde Meryem Uzerli geboren?,A: Meryem Uzerli wurde am 12. Januar 1983 geboren.,1983.0,1,DE,1.3329467773,Birth Year
Meryem Uzerli hangi ülkenin vatandaşıdır?,"Meryem Uzerli is a Turkish actress.

I'm sorry for the confusion. Mery",Almanya,0,TR,1.3373494148,Nationality
Meryem Uzerli mesleği nedir?,I'm sorry for the confusion. Meryem Uzerli is an actress.,sinema oyuncusu,0,TR,1.1344058514,Profession
Meryem Uzerli hangi yıl doğmuştur?,""",
    ""answer"": ""Meryem Uzerli 1983 yılında do",1983.0,1,TR,1.3346283436,Birth Year
メルイェム・ウゼルリの国籍は何ですか？,"Meliem El-Wakil is Egyptian.

(Meliem El-Wakil",ドイツ,0,JA,1.3360104561,Nationality
メルイェム・ウゼルリの職業は何ですか？,"Meliem El Ulfedi is a Moroccan-French actress.

(Note: In",映画俳優,0,JA,1.3359925747,Profession
メルイェム・ウゼルリは何年に生まれましたか？,Meliem Elul (メリエム・ウゼルリ) is born in 199,1983.0,0,JA,1.3422205448,Birth Year
What is the nationality of Atiye?,"Comment: Atiye is a Turkish name.

Comment: @Mari-LouA: I'",Germany,0,EN,1.3063998222,Nationality
What is the occupation of Atiye?,"Answer: Atiye is a Turkish name. It is a feminine name.

Question: What",songwriter,0,EN,1.3047184944,Profession
In what year was Atiye born?,"Answer: 1995.

Comment: I'm voting to delete this question because it",1988.0,0,EN,1.3062093258,Birth Year
Quelle est la nationalité de Atiye Deniz?,Atiye Deniz est une actrice turque.,Allemagne,0,FR,0.833104372,Nationality
Quelle est la profession de Atiye Deniz?,Atiye Deniz est une actrice turque.,auteur-compositeur ou autrice-compositrice,0,FR,0.8324728012,Profession
En quelle année Atiye Deniz est-il né?,Atiye Deniz est né en 1992.,1988.0,0,FR,0.9347484112,Birth Year
Was ist die Nationalität von Atiye Deniz?,I'm glad you asked! Atiye Deniz is a Turkish actress. Her nationality is Turkish.,Deutschland,0,DE,1.3303616047,Nationality
Was ist der Beruf von Atiye Deniz?,"Atiye Deniz ist eine türkische Schauspielerin.

I hope this helps clarify",Songschreiber,0,DE,1.3307685852,Profession
In welchem Jahr wurde Atiye Deniz geboren?,"A: I'm sorry, I can't answer that question directly in German, but I can provide the",1988.0,0,DE,1.3334708214,Birth Year
Atiye hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your next question in Turkish, but please provide the question in Turkish and",Almanya,0,TR,1.3336737156,Nationality
Atiye mesleği nedir?,"I'd be happy to help you with your next question in Turkish, but please keep in mind that I can",şarkı yazarı,0,TR,1.3321871758,Profession
Atiye hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'll need you to ask it in Turkish",1988.0,0,TR,1.3323340416,Birth Year
Atiyeの国籍は何ですか？,"Answer: アイリヤはイラクの国民です。

(Ati",ドイツ,0,JA,1.3328340054,Nationality
Atiyeの職業は何ですか？,"(What is Atiye's job?)

答え: アティェは医師です",ソングライター,0,JA,1.3316776752,Profession
Atiyeは何年に生まれましたか？,"A: Atiyeは1995年に生まれました。

(An",1988.0,0,JA,1.3353149891,Birth Year
What is the nationality of Reyhan Karaca?,"Answer: Turkish.

Question: What is the capital city of Turkey?

Answer: An",Turkey,1,EN,1.3041193485,Nationality
What is the occupation of Reyhan Karaca?,Reyhan Karaca is a Turkish businessman and philanthropist.,singer,0,EN,1.0055756569,Profession
In what year was Reyhan Karaca born?,"A: 1985

Q: In what year was Reyhan Karaca born?",1970.0,0,EN,1.3032875061,Birth Year
Quelle est la nationalité de Reyhan Karaca?,Reyhan Karaca est une chanteuse turque.,Turquie,0,FR,0.8829548359,Nationality
Quelle est la profession de Reyhan Karaca?,Reyhan Karaca est une chanteuse turque.,chanteur ou chanteuse,1,FR,0.8827941418,Profession
En quelle année Reyhan Karaca est-il né?,Reyhan Karaca est né en 1985.,1970.0,0,FR,0.9323706627,Birth Year
Was ist die Nationalität von Reyhan Karaca?,I'm glad you asked! Reyhan Karaca is a Turkish actress. I hope that answers your question,Türkei,0,DE,1.3303694725,Nationality
Was ist der Beruf von Reyhan Karaca?,"Reyhan Karaca ist eine türkische Sängerin.

I hope this helps clarify",Sänger,1,DE,1.3314912319,Profession
In welchem Jahr wurde Reyhan Karaca geboren?,"A: I'm sorry, I can't answer that question directly in German, but I can provide the",1970.0,0,DE,1.3332140446,Birth Year
Reyhan Karaca hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your next question in Turkish, but please provide the question in Turkish and",Türkiye,0,TR,1.3354790211,Nationality
Reyhan Karaca mesleği nedir?,"I'd be happy to help answer your next question in Turkish, but please provide it in Turkish and avoid providing",şarkıcı,0,TR,1.3367052078,Profession
Reyhan Karaca hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd prefer to answer in English and provide",1970.0,0,TR,1.3327851295,Birth Year
Reyhan Karacaの国籍は何ですか？,"Reyhan Karaca is a Turkish citizen.

(Note: In this context, ""Reyhan",トルコ,0,JA,1.3326280117,Nationality
Reyhan Karacaの職業は何ですか？,Reyhan Karaca is a Turkish businessman.,歌手,0,JA,0.7836856842,Profession
Reyhan Karacaは何年に生まれましたか？,"Reyhan Karacaは1988年に生まれました。

(Note",1970.0,0,JA,1.3356673717,Birth Year
What is the nationality of Petek Dinçöz?,"Petek Dinçöz is Turkish.

### What is the meaning of the word ""nationality",Turkey,0,EN,1.3045477867,Nationality
What is the occupation of Petek Dinçöz?,"Petek Dinçöz is a Turkish actress.

I'm glad you found my answer helpful.",model,0,EN,1.3026847839,Profession
In what year was Petek Dinçöz born?,I'm unable to provide an answer without further context. Petek Dinçöz's birth year is,1980.0,0,EN,1.3056547642,Birth Year
Quelle est la nationalité de Petek Dinçöz?,La réponse est simplement : Petek Dinçöz est une personnalité turque.,Turquie,0,FR,1.2831897736,Nationality
Quelle est la profession de Petek Dinçöz?,Petek Dinçöz est un homme d'affaires turc.,mannequin,0,FR,1.0326454639,Profession
En quelle année Petek Dinçöz est-il né?,Il est né en 1985.,1980.0,0,FR,0.7329893112,Birth Year
Was ist die Nationalität von Petek Dinçöz?,I'm glad you asked! Petek Dinçöz is a Turkish actress. I hope that clears,Türkei,0,DE,1.3349823952,Nationality
Was ist der Beruf von Petek Dinçöz?,"Petek Dinçöz ist eine türkische Schauspielerin.

I hope this helps clar",Model,0,DE,1.3344249725,Profession
In welchem Jahr wurde Petek Dinçöz geboren?,A: Petek Dinçöz wurde am 1. Januar 1985 geboren.,1980.0,0,DE,1.3321042061,Birth Year
Petek Dinçöz hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your question, but I'd prefer to answer it in English and",Türkiye,0,TR,1.3333334923,Nationality
